B90,B90_MM,T38,T38_IM,Landings
6.0625,0.486111111,2.365555556,0.796111111,2.44053378
19.75694444,2.737955217,8.725946276,2.610927961,3.224819619
13.94583333,1.322896825,4.05849359,1.664262821,3.026288808
15.09848485,1.574981797,3.090277778,0.968686869,2.67262739
9.592013889,0.92909245,2.301420455,0.588257576,2.793547078
10.03125,1.204227079,4.104166667,1.286458333,2.266289217
1.861111111,0.357142857,2.295138889,0.770833333,2.489594989
3.602922078,0.630735931,2.875661376,1.174603175,2.956350063
10.08766234,1.834295334,2.670955882,1.086397059,3.157150319
3.997496684,0.325,1.35,0.35,2.355470544
2.170138889,0.118055556,2.201923077,0.8,2.432542274
1.6875,0.229166667,1.477777778,0.133333333,2.382410421
3.166666667,0.424404762,6.093333333,0.766666667,2.872149277
9.818181818,2.102272727,3.140548341,1.03008658,2.781157732
8.415719697,1.229166667,5.057414966,1.569795918,2.745846386
