Year,Sampling Events,RawAbun,CPUE,Juvenile,Subadult,Adult
1999,6,4,9.7,0.0,7.2,2.4
2000,6,3,7.2,0.0,0.0,4.8
2001,4,1,3.6,0.0,0.0,3.6
2002,6,0,0.0,0.0,0.0,0.0
2003,6,2,4.8,0.0,4.8,0.0
2004,4,2,7.2,0.0,3.6,3.6
2005,8,7,12.7,1.8,0.0,10.9
2006,2,3,21.7,0.0,0.0,21.7
2007,4,12,48.1,0.0,15.0,33.2
2008,2,0,0.0,0.0,0.0,0.0
2009,0,,,,,
2010,4,18,65.2,3.6,32.6,29.0
2011,0,,,,,
2012,2,135,1291.1,0.0,1061.6,229.5
2013,0,,,,,
2014,0,,,,,
2015,2,1,7.2,7.2,0.0,0.0
2016,2,1,7.2,0.0,0.0,7.2
2017,2,2,14.5,0.0,7.2,7.2
2018,2,1,7.2,0.0,7.2,0.0
