Year,B90_CPUE,B90_JuvCPUE,B90_JuvLAG,B90_SubadultCPUE,B90_SubadultLAG,B90_AdultCPUE,B90_ImmatureFemaleCPUE,B90_ImmatureFemaleLAG,B90_MatureFemaleCPUE,B90_ImmatureMaleCPUE,B90_ImmatureMaleLAG,B90_MatureMaleCPUE,B90_SublegalCPUE,B90_SublegalLAG,B90_LegalCPUE,E98_CPUE,E98_JuvCPUE,E98_SubadultCPUE,E98_AdultCPUE,E98_SublegalCPUE,E98_LegalCPUE,E99_CPUE,E99_JuvCPUE,E99_SubadultCPUE,E99_AdultCPUE,E99_SublegalCPUE,E99_LegalCPUE,P88_CPUE,P88_SublegalCPUE,P88_SublegalLAG,P88_LegalCPUE,T06_CPUE,T38_CPUE,T38_JuvCPUE,T38_JuvLAG,T38_SubadultCPUE,T38_SubadultLAG,T38_AdultCPUE,T38_ImmatureFemaleCPUE,T38_ImmatureFemaleLAG,T38_MatureFemaleCPUE,T38_ImmatureMaleCPUE,T38_ImmatureMaleLAG,T38_MatureMaleCPUE,T38_SublegalCPUE,T38_SublegalLAG,T38_LegalCPUE,S16_CPUE,LandingsSum,LandingsMean,LandingsCPUEMean
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538950,48995.45455,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733843,61153.58333,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413938,30902.16667,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157989,14362.63636,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55251,5525.1,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232904,23290.4,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413003,26958.95833,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706049,29227.875,
1980,1.163618971,0.225281897,,0.516251095,,0.426618007,0.463908084,,0.227418028,0.219725109,,0.257099779,0.741532992,,0.426618007,,,,,,,,,,,,,,,,,,5.470238095,1.833333333,,2.571428571,,1.06547619,2.220238095,,0.148809524,1.958333333,,1.071428571,4.404761905,,1.06547619,,478991,20969.625,
1981,5.859872321,0.997661012,0.225281897,2.430595342,0.516251095,2.435336523,1.837522914,0.463908084,2.235901184,0.815763938,0.219725109,0.974404842,3.428256354,0.741532992,2.435336523,,,,,,,,,,,,,,,,,,3.642857143,0.273214286,1.833333333,2.432142857,2.571428571,0.9375,1.017857143,2.220238095,0.075,1.2,1.958333333,1.25,2.705357143,4.404761905,0.9375,,510895,21287.29167,
1982,1.149579104,0.313705723,0.997661012,0.506836445,2.430595342,0.332642996,0.445771387,1.837522914,0.225334879,0.260358348,0.815763938,0.22172055,0.820542168,3.428256354,0.332642996,,,,,,,,,,,,,,,,,,12.48518519,2.966666667,0.273214286,6.951851852,2.432142857,2.566666667,3.677777778,1.017857143,0.296296296,5.003703704,1.2,3.033333333,9.918518519,2.705357143,2.566666667,,341254,14218.91667,
1983,4.69389658,2.603951438,0.313705723,1.133329224,0.506836445,0.959436423,2.375738918,0.445771387,0.604503759,1.218775214,0.260358348,0.497699195,3.737280663,0.820542168,0.959436423,,,,,,,,,,,,,,,,,,8.404166667,3.166666667,2.966666667,3.720833333,6.951851852,1.516666667,3.575,3.677777778,0.408333333,2.770833333,5.003703704,1.5375,6.8875,9.918518519,1.516666667,,491601,21347.20833,
1984,10.41663975,2.586070891,2.603951438,5.104613878,1.133329224,2.728750946,4.773383825,2.375738918,2.142689662,2.372832729,1.218775214,1.130529499,7.690684769,3.737280663,2.728750946,,,,,,,,,,,,,,,,,,9.5,4.369047619,3.166666667,3.880952381,3.720833333,1.25,3.464285714,3.575,0.119047619,3.982142857,2.770833333,1.755952381,8.25,6.8875,1.25,,473946,19747.75,
1985,7.706938056,3.751425104,2.586070891,1.860182373,5.104613878,2.098426134,3.39553827,4.773383825,1.107076676,2.162880529,2.372832729,1.044538137,5.611607477,7.690684769,2.098426134,,,,,,,,,,,,,,,,,,2.486111111,0.509259259,4.369047619,1.615740741,3.880952381,0.361111111,1.074074074,3.464285714,0.041666667,0.759259259,3.982142857,0.537037037,2.125,8.25,0.361111111,,327764,16423.20833,
1986,13.02661965,2.208055803,3.751425104,7.296977434,1.860182373,3.43264485,5.65197258,3.39553827,2.710386073,2.848940487,2.162880529,1.637198548,9.505033237,5.611607477,3.43264485,,,,,,,,,,,,,,,,,,6.483333333,0.225,0.509259259,4.470833333,1.615740741,1.7875,0.541666667,1.074074074,0.091666667,2.608333333,0.759259259,3.116666667,4.695833333,2.125,1.7875,,614859,25619.125,
1987,15.72481146,3.442160501,2.208055803,5.078747452,7.296977434,7.207066491,4.839066696,5.65197258,6.246040803,2.318643541,2.848940487,2.305057663,8.520907953,9.505033237,7.207066491,,,,,,,,,,,,,,,,,,6.83041958,1.974838623,0.225,3.828752017,4.470833333,1.02682894,2.326896181,0.541666667,0.184655729,2.738676708,2.608333333,1.580190963,5.80359064,4.695833333,1.02682894,,763884,31828.5,
1988,12.47830499,2.549273845,3.442160501,5.960206437,5.078747452,3.972116827,4.795449898,4.839066696,3.519646654,2.647099833,2.318643541,1.483330408,8.509480282,8.520907953,3.972116827,,,,,,,,,,,,,4.981087107,2.229023046,,2.752064061,,5.11955267,2.371500722,1.974838623,2.245021645,3.828752017,0.503030303,2.308225108,2.326896181,0.023809524,1.972150072,2.738676708,0.69025974,4.616522367,5.80359064,0.503030303,,1030297,46666.875,
1989,11.74522829,5.315095371,2.549273845,3.591414835,5.960206437,2.841946346,5.331598717,4.795449898,2.639042637,3.229143936,2.647099833,0.548671261,8.906510206,8.509480282,2.841946346,,,,,,,,,,,,,7.162296212,2.344642617,2.229023046,4.817653596,,5.896110468,2.640061693,2.371500722,2.466804029,2.245021645,0.789244746,2.510169655,2.308225108,0.156328321,2.420185078,1.972150072,0.788594081,5.106865722,4.616522367,0.789244746,,925593,38566.375,
1990,7.509668666,3.278535342,5.315095371,2.36720593,3.591414835,1.866836479,3.156860163,5.331598717,0.977791244,1.868615922,3.229143936,1.509310422,5.645741273,8.906510206,1.866836479,,,,,,,,,,,,,4.249156699,0.975874116,2.344642617,3.273282583,,3.005555556,1.099758454,2.640061693,1.492753623,2.466804029,0.413043478,1.25942029,2.510169655,0.091304348,1.208454106,2.420185078,0.384057971,2.592512077,5.106865722,0.413043478,,1004212,53492.125,
1991,7.870023728,3.035089494,3.278535342,3.18134624,2.36720593,1.656443112,3.415655995,3.156860163,1.190601734,2.184428977,1.868615922,1.08219214,6.216435734,5.645741273,1.656443112,,,,,,,,,,,,,3.640791509,0.885055157,0.975874116,2.755736352,,4.786742424,0.960227273,1.099758454,3.268560606,1.492753623,0.557954545,1.678409091,1.25942029,0.0625,2.1125,1.208454106,0.75719697,4.228787879,2.592512077,0.557954545,,1127243,46968.45833,
1992,20.09015208,3.192385115,3.035089494,8.208187786,3.18134624,8.692348071,6.739848338,3.415655995,8.198996989,2.909114841,2.184428977,2.244960805,11.4005729,6.216435734,8.692348071,,,,,,,,,,,,,4.155103015,0.774927743,0.885055157,3.380175271,,4.495238095,0.852380952,0.960227273,2.795238095,3.268560606,0.847619048,1.354761905,1.678409091,0.264285714,1.553571429,2.1125,0.9,3.647619048,4.228787879,0.847619048,,1034374,43098.91667,
1993,8.622407386,2.452360821,3.192385115,4.455851167,8.208187786,1.717010146,4.017842252,6.739848338,1.432627383,2.352410886,2.909114841,0.822341613,6.908211988,11.4005729,1.717010146,,,,,,,,,,,,,4.459991864,1.750659657,0.774927743,2.709332207,,6.060267857,2.640625,0.852380952,2.622130102,2.795238095,0.797512755,2.640306122,1.354761905,0.100446429,2.073022959,1.553571429,0.98309949,5.262755102,3.647619048,0.797512755,,771546,32147.75,
1994,15.40750389,4.659624174,2.452360821,7.508564344,4.455851167,3.242070673,7.244652031,4.017842252,2.437795397,3.467245839,2.352410886,2.250835571,12.16818852,6.908211988,3.242070673,,,,,,,,,,,,,3.097670517,1.296371816,1.750659657,1.801298701,,7.100732601,2.223443223,2.640625,4.17032967,2.622130102,0.706959707,2.646520147,2.640306122,0.076923077,3.117216117,2.073022959,1.234432234,6.393772894,5.262755102,0.706959707,,1380506,57521.08333,
1995,5.670893849,1.754516044,4.659624174,2.50823632,7.508564344,1.410730745,2.565764198,7.244652031,1.003451475,1.373279512,3.467245839,0.722339256,4.262752363,12.16818852,1.410730745,,,,,,,,,,,,,4.632345675,1.405162104,1.296371816,3.227183571,,4.352106227,1.329899267,2.223443223,1.986721612,4.17032967,1.035485348,1.216346154,2.646520147,0.080128205,1.535714286,3.117216117,1.398122711,3.316620879,6.393772894,1.035485348,,1234095,51420.625,
1996,20.2825631,5.427508906,1.754516044,8.519796232,2.50823632,6.337436846,7.001557999,2.565764198,6.490793766,4.677226728,1.373279512,2.115163491,13.94730514,4.262752363,6.337436846,,,,,,,,,,,,,3.64202292,1.521216891,1.405162104,2.120806028,,10.97564935,4.253571429,1.329899267,5.490584416,1.986721612,1.231493506,4.352597403,1.216346154,0.218181818,4.562662338,1.535714286,1.842207792,9.744155844,3.316620879,1.231493506,,881776,37625.83333,
1997,9.911642163,3.895550166,5.427508906,4.411453718,8.519796232,1.606427538,4.821132159,7.001557999,1.304990127,2.838959799,4.677226728,0.948349337,8.307003884,13.94730514,1.606427538,,,,,,,,,,,,,2.369294622,0.826376335,1.521216891,1.542918288,,8.076373626,2.235164835,4.253571429,4.072527473,5.490584416,1.768681319,2.628846154,4.352597403,0.363461538,2.739835165,4.562662338,2.344230769,6.307692308,9.744155844,1.768681319,,979468,43083,
1998,2.895548214,0.635371108,3.895550166,1.390833565,4.411453718,0.871695763,1.099375257,4.821132159,0.521165192,0.710169185,2.838959799,0.567190802,2.026204673,8.307003884,0.871695763,,,,,,,,,,,,,2.214560062,0.657141308,0.826376335,1.557418754,,13.63311688,4.332792208,2.235164835,7.295995671,4.072527473,2.004329004,3.88474026,2.628846154,0.457792208,5.443181818,2.739835165,3.847402597,11.62878788,6.307692308,2.004329004,,805416,36277.66667,
1999,6.074371726,1.435715585,0.635371108,3.132581027,1.390833565,1.508674003,2.68714695,1.099375257,1.095888657,1.227736665,0.710169185,1.066198343,4.568296612,2.026204673,1.508674003,9.057971239,0,7.246376991,1.811594248,7.246376991,1.811594248,7.24637699,0,3.623188495,3.623188495,3.623188495,3.623188495,4.653064847,1.651682878,0.657141308,3.001381969,,12.24918415,3.821402149,4.332792208,6.726221243,7.295995671,1.701560758,4.947871187,3.88474026,0.314121567,4.088784838,5.443181818,2.898406557,10.54762339,11.62878788,1.701560758,,877314,41458.04167,
2000,9.658995833,0.816930642,1.435715585,4.534764393,3.132581027,4.309811725,2.521130461,2.68714695,3.638085242,1.810655335,1.227736665,1.691635721,5.351695035,4.568296612,4.309811725,7.246376992,0,0,4.830917995,0,4.830917995,2.415458997,0,2.415458997,0,2.415458997,0,1.689444229,0.796178697,1.651682878,0.893265532,,11.27941176,3.703961585,3.821402149,5.86107443,6.726221243,1.71437575,4.470198079,4.947871187,0.248529412,3.827220888,4.088784838,2.733463385,9.565036014,10.54762339,1.71437575,,973654,41210.83333,
2001,26.95724314,4.881045317,0.816930642,8.907989802,4.534764393,13.17016854,8.715683313,2.521130461,9.841504979,4.308175308,1.810655335,4.093840057,13.78903512,5.351695035,13.17016854,3.623188495,0,0,3.623188495,0,3.623188495,3.019323667,0,0,3.019323667,0,3.019323667,1.308384335,0.655349974,0.796178697,0.653034361,,6.163095238,1.583730159,3.703961585,3.83531746,5.86107443,0.744047619,2.282539683,4.470198079,0.083333333,2.075,3.827220888,1.722222222,5.419047619,9.565036014,0.744047619,,1221827,50909.45833,
2002,2.296105556,0.327685458,4.881045317,1.277158007,8.907989802,0.691417647,1.060842974,8.715683313,0.430741667,0.51275049,4.308175308,0.29192598,1.604843464,13.78903512,0.691417647,0,0,0,0,0,0,4.5289855,0,1.8115942,2.7173913,1.8115942,2.7173913,3.150145348,1.011528244,0.655349974,2.138617104,,7.432539683,2.316798942,1.583730159,4.113756614,3.83531746,1.001984127,2.83531746,2.282539683,0.091269841,2.769179894,2.075,1.736772487,6.430555556,5.419047619,1.001984127,,937676,39691.83333,
2003,6.0625,0.479166667,0.327685458,1.847222222,1.277158007,3.736111111,1.597222222,1.060842974,3.458333333,0.520833333,0.51275049,0.486111111,2.326388889,1.604843464,3.736111111,3.623188495,0,3.623188495,0,3.623188495,0,9.057971239,1.811594248,4.528985619,2.717391372,6.340579867,2.717391372,1.189440725,0.629261124,1.011528244,0.560179601,,2.958333333,0.747619048,2.316798942,1.510714286,4.113756614,0.7,0.842857143,2.83531746,0,1.104761905,2.769179894,1.010714286,2.258333333,6.430555556,0.7,,476956,17904.375,
2004,19.75694444,4.130611863,0.479166667,11.38067691,1.847222222,4.245655674,5.768226247,1.597222222,3.274979247,3.352263841,0.520833333,2.737955217,15.51128877,2.326388889,4.245655674,7.246376993,0,3.623188496,3.623188496,3.623188496,3.623188496,3.623188495,0,0,3.623188495,0,3.623188495,5.913891302,3.62975619,0.629261124,2.284135112,,10.17272727,3.894155844,0.747619048,4.334307359,1.510714286,1.587121212,3.766017316,0.842857143,0.226515152,3.302489177,1.104761905,2.520562771,8.228463203,2.258333333,1.587121212,,497616.59,10992.32938,2.44053378
2005,13.94583333,6.103115079,4.130611863,6.407519841,11.38067691,1.435198413,7.169404762,5.768226247,0.88,4.573531746,3.352263841,1.322896825,12.51063492,15.51128877,1.435198413,12.68115973,1.811594248,0,10.86956549,1.811594248,10.86956549,0,0,0,0,0,0,4.69413742,2.574450536,3.62975619,2.119686884,,3.956493506,1.287662338,3.894155844,2.197727273,4.334307359,0.471103896,1.387662338,3.766017316,0.126623377,1.625649351,3.302489177,0.816558442,3.48538961,8.228463203,0.471103896,,487581.46,10732.98903,3.224819619
2006,15.09848485,7.451588432,6.103115079,5.684793759,6.407519841,1.962102657,7.546071795,7.169404762,1.156239664,4.821191592,4.573531746,1.574981797,13.13638219,12.51063492,1.962102657,21.73913098,0,0,21.73913098,0,21.73913098,4.5289855,0,1.811594208,2.717391292,1.811594208,2.717391292,3.171590655,1.544847506,2.574450536,1.626743149,1.596656406,3.592857143,1.425,1.287662338,1.533116883,2.197727273,0.63474026,1.466883117,1.387662338,0.06038961,1.156168831,1.625649351,0.909415584,2.958116883,3.48538961,0.63474026,,513745.99,10921.66139,3.026288808
2007,9.592013889,3.803229626,7.451588432,4.346304593,5.684793759,1.44247967,4.150455367,7.546071795,0.872124989,3.640341084,4.821191592,0.92909245,8.149534219,13.13638219,1.44247967,48.14771843,0,14.98682486,33.16089357,14.98682486,33.16089357,3.623188496,3.623188496,0,0,3.623188496,0,2.918050013,1.3316135,1.544847506,1.586436513,1.722439093,2.609615385,0.509340659,1.425,1.211538462,1.533116883,0.888736264,0.839285714,1.466883117,0.019230769,0.669505495,1.156168831,1.081593407,1.720879121,2.958116883,0.888736264,,426241.49,9279.723542,2.67262739
2008,10.03125,3.488908269,3.803229626,3.9271711,4.346304593,2.61517063,4.504485125,4.150455367,1.681291844,2.641245952,3.640341084,1.204227079,7.41607937,8.149534219,2.61517063,0,0,0,0,0,0,,,,,,,3.521730183,1.439971717,1.3316135,2.081758466,2.202487118,4.671428571,1.414285714,0.509340659,1.95,1.211538462,1.307142857,1.45,0.839285714,0.257142857,1.489285714,0.669505495,1.475,3.364285714,1.720879121,1.307142857,,562982.97,12364.23743,2.793547078
2009,1.861111111,0.285714286,3.488908269,0.876984127,3.9271711,0.698412698,0.694444444,4.504485125,0.396825397,0.412698413,2.641245952,0.357142857,1.162698413,7.41607937,0.698412698,,,,,,,2.415458997,1.207729499,1.207729499,0,2.415458997,0,2.009040199,0.788812886,1.439971717,1.220227313,0.622471894,3.063492063,1.182539683,1.414285714,1.063492063,1.95,0.817460317,0.76984127,1.45,0.071428571,1.126984127,1.489285714,1.095238095,2.246031746,3.364285714,0.817460317,,508806.45,10741.91215,2.266289217
2010,3.602922078,0.368506494,0.285714286,1.36475469,0.876984127,1.869660895,0.937301587,0.694444444,1.455916306,0.476695527,0.412698413,0.630735931,1.733261183,1.162698413,1.869660895,65.21739198,3.623188496,32.60869599,28.98550749,36.23188449,28.98550749,7.24637699,0,3.623188495,3.623188495,3.623188495,3.623188495,1.244145918,0.491287352,0.788812886,0.752858565,1.258421724,3.647619048,1.280952381,1.182539683,1.761904762,1.063492063,0.604761905,1.361904762,0.76984127,0.080952381,1.480952381,1.126984127,0.723809524,3.042857143,2.246031746,0.604761905,,484385.38,10695.37319,2.489594989
2011,10.08766234,1.071428571,0.368506494,4.854737855,1.36475469,4.161495911,2.717412217,0.937301587,3.882154882,1.653799904,0.476695527,1.834295334,5.926166426,1.733261183,4.161495911,,,,,,,10.86956549,0,10.86956549,0,10.86956549,0,2.687633831,0.904263783,0.491287352,1.783370048,1.501418722,2.96474359,0.927197802,1.280952381,1.293040293,1.761904762,0.744505495,0.912087912,1.361904762,0.112637363,1.161172161,1.480952381,0.778846154,2.220238095,3.042857143,0.744505495,,831069.2,17687.63486,2.956350063
2012,3.997496684,1.339423077,1.071428571,1.839323607,4.854737855,0.81875,1.679227454,2.717412217,0.675,0.818269231,1.653799904,0.325,3.178746684,5.926166426,0.81875,1291.062821,0,1061.594219,229.4686016,1061.594219,229.4686016,1.811594248,0,0,1.811594248,0,1.811594248,2.819689081,1.618337898,0.904263783,1.201351183,2.46230477,1.530952381,0.3,0.927197802,0.933333333,1.293040293,0.297619048,0.607142857,0.912087912,0.035714286,0.454761905,1.161172161,0.433333333,1.233333333,2.220238095,0.297619048,,1111353.78,23153.20375,3.157150319
2013,2.170138889,1.09375,1.339423077,0.8125,1.839323607,0.263888889,1.236111111,1.679227454,0.277777778,0.538194444,0.818269231,0.118055556,1.90625,3.178746684,0.263888889,,,,,,,1.207729499,0,1.207729499,0,1.207729499,0,2.511004378,1.01001751,1.618337898,1.500986868,1.338590387,3.333333333,0.652777778,0.3,1.673611111,0.933333333,1.006944444,0.798611111,0.607142857,0.152777778,1.263888889,0.454761905,1.118055556,2.326388889,1.233333333,1.006944444,,743832.73,15918.35979,2.355470544
2014,1.6875,0.364583333,1.09375,0.614583333,0.8125,0.708333333,0.354166667,1.236111111,0.520833333,0.135416667,0.538194444,0.229166667,0.979166667,1.90625,0.708333333,,,,,,,7.246376992,0,0,7.246376992,0,7.246376992,2.197339473,1.236579537,1.01001751,0.960759936,0.588738549,0.416666667,0.166666667,0.652777778,0,1.673611111,0.25,0.166666667,0.798611111,0,0,1.263888889,0.25,0.166666667,2.326388889,0.25,,651631.26,13693.64597,2.432542274
2015,3.166666667,1.020833333,0.364583333,0.646130952,0.614583333,1.480952381,0.994642857,0.354166667,1.005952381,0.660416667,0.135416667,0.424404762,1.666964286,0.979166667,1.480952381,7.24637699,7.24637699,0,0,7.24637699,0,0,0,0,0,0,0,2.094874079,0.639599653,1.236579537,1.455274426,1.605047227,6.979166667,1.1875,0.166666667,3.104166667,0,2.6875,2.208333333,0.166666667,0.5,1,0,2.1875,4.291666667,0.166666667,2.6875,,636548.78,13261.43292,2.382410421
2016,9.818181818,1.056818182,1.020833333,2.227272727,0.646130952,5.965909091,1.75,0.994642857,3.988636364,1.386363636,0.660416667,2.102272727,3.284090909,1.666964286,5.965909091,7.24637699,0,0,7.24637699,0,7.24637699,0,0,0,0,0,0,2.126025842,0.822490814,0.639599653,1.303535028,2.273138556,3.57747114,1.282377345,1.1875,1.123556999,3.104166667,1.00487013,0.835858586,2.208333333,0.131673882,1.251893939,1,1.110209235,2.405934343,4.291666667,1.00487013,16.94267981,822197.3,17265.41597,2.872149277
2017,8.415719697,1.03125,1.056818182,2.645833333,2.227272727,3.634469697,1.958333333,1.75,2.832386364,1.1875,1.386363636,1.229166667,3.677083333,3.284090909,3.634469697,14.49275399,0,7.246376993,7.246376993,7.246376993,7.246376993,3.623188495,0,1.811594248,1.811594248,1.811594248,1.811594248,2.31412326,1.22030491,0.822490814,1.09381835,2.029875494,5.421768707,2.576955782,1.282377345,1.765306122,1.123556999,1.079506803,2.06335034,0.835858586,0.24702381,1.799744898,1.251893939,0.650935374,4.342261905,2.405934343,1.079506803,15.87911966,780553.75,16261.53646,2.781157732
2018,10.42708333,2.135645604,1.03125,2.857371795,2.645833333,5.079899267,2.793040293,1.958333333,4.506982601,1.583791209,1.1875,1.116185897,4.993017399,3.677083333,5.079899267,7.24637699,0,7.24637699,0,7.24637699,0,1.811594248,0,0,1.811594248,0,1.811594248,2.862217307,1.513793413,1.22030491,1.348423895,2.99360873,5.5186723,2.658858333,2.576955782,1.605951578,1.765306122,0.833456406,1.475356411,2.06335034,0.104567308,2.245160409,1.799744898,0.934818586,4.264809911,4.342261905,0.833456406,17.38529766,696527.83,14510.99646,2.745846386
