Year,B90_CPUE,B90_JuvCPUE,B90_SubadultCPUE,B90_AdultCPUE,B90_ImmatureFemaleCPUE,B90_MatureFemaleCPUE,B90_ImmatureMaleCPUE,B90_MatureMaleCPUE,B90_SublegalCPUE,B90_LegalCPUE,E98_CPUE,E98_JuvCPUE,E98_SubadultCPUE,E98_AdultCPUE,E98_SublegalCPUE,E98_LegalCPUE,E99_CPUE,E99_JuvCPUE,E99_SubadultCPUE,E99_AdultCPUE,E99_SublegalCPUE,E99_LegalCPUE,P88_CPUE,P88_SublegalCPUE,P88_LegalCPUE,T06_CPUE,T38_CPUE,T38_JuvCPUE,T38_SubadultCPUE,T38_AdultCPUE,T38_ImmatureFemaleCPUE,T38_MatureFemaleCPUE,T38_ImmatureMaleCPUE,T38_MatureMaleCPUE,T38_SublegalCPUE,T38_LegalCPUE,S16_CPUE,AshleyLandings,CooperLandings,ChsHarborLandings,WandoLandings,SumLandings,MeanLandings,AshleyLandingsCPUE,CooperLandingsCPUE,ChsHarborLandingsCPUE,WandoLandingsCPUE,SumLandingsCPUE,MeanLandingsCPUE
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48995.45455,,48995.45455,48995.45455,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61153.58333,,61153.58333,61153.58333,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30678.16667,45800,76478.16667,38239.08333,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14362.63636,,14362.63636,14362.63636,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5525.1,,5525.1,5525.1,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23290.4,,23290.4,23290.4,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34092.83333,972.25,35065.08333,17532.54167,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35152,22643,57795,28897.5,,,,,,
1980,1.163618971,0.225281897,0.516251095,0.426618007,0.463908084,0.227418028,0.219725109,0.257099779,0.741532992,0.426618007,,,,,,,,,,,,,,,,,4.008571429,1.182077922,2.061038961,0.765454545,1.837922078,0.161038961,1.193506494,0.787532468,3.243116883,0.765454545,,,,12855.41667,29520.54545,42375.96212,21187.98106,,,,,,
1981,5.859872321,0.997661012,2.430595342,2.435336523,1.837522914,2.235901184,0.815763938,0.974404842,3.428256354,2.435336523,,,,,,,,,,,,,,,,,3.392719298,0.474078947,2.234210526,0.684429825,1.045789474,0.04,1.259429825,0.995833333,2.708289474,0.684429825,,,,13015.91667,29558.66667,42574.58333,21287.29167,,,,,,
1982,1.149579104,0.313705723,0.506836445,0.332642996,0.445771387,0.225334879,0.260358348,0.22172055,0.820542168,0.332642996,,,,,,,,,,,,,,,,,12.75961538,4.400641026,6.615384615,1.743589744,3.903846154,0.173076923,6.022435897,2.099358974,11.01602564,1.743589744,,,,7916.833333,20521,28437.83333,14218.91667,,,,,,
1983,4.69389658,2.603951438,1.133329224,0.959436423,2.375738918,0.604503759,1.218775214,0.497699195,3.737280663,0.959436423,,,,,,,,,,,,,,,,,5.536984127,1.986825397,2.477777778,1.072380952,2.067301587,0.179365079,1.912063492,1.238253968,4.464603175,1.072380952,,,,28331.41667,13784,42115.41667,21057.70833,,,,,,
1984,10.41663975,2.586070891,5.104613878,2.728750946,4.773383825,2.142689662,2.372832729,1.130529499,7.690684769,2.728750946,,,,,,,,,,,,,,,,,7.749494949,2.951919192,3.744747475,1.052828283,2.846767677,0.136666667,2.99979798,1.481414141,6.696666667,1.052828283,,,,21865.33333,17630.16667,39495.5,19747.75,,,,,,
1985,7.706938056,3.751425104,1.860182373,2.098426134,3.39553827,1.107076676,2.162880529,1.044538137,5.611607477,2.098426134,,,,,,,,,,,,,,,,,1.987762238,0.361538462,1.302680653,0.323543124,0.804545455,0.045454545,0.661072261,0.438228438,1.664219114,0.323543124,,,,21067.41667,8328.333333,29395.75,14697.875,,,,,,
1986,13.02661965,2.208055803,7.296977434,3.43264485,5.65197258,2.710386073,2.848940487,1.637198548,9.505033237,3.43264485,,,,,,,,,,,,,,,,,4.794285714,0.17047619,3.36,1.263809524,0.66952381,0.057619048,1.82,2.167142857,3.53047619,1.263809524,,,,37058.16667,14180.08333,51238.25,25619.125,,,,,,
1987,15.72481146,3.442160501,5.078747452,7.207066491,4.839066696,6.246040803,2.318643541,2.305057663,8.520907953,7.207066491,,,,,,,,,,,,,,,,,8.27254902,1.797435897,5.070437406,1.404675716,2.961387632,0.194720965,3.32760181,1.788838612,6.867873303,1.404675716,,,,57869.58333,5787.416667,63657,31828.5,,,,,,
1988,12.47830499,2.549273845,5.960206437,3.972116827,4.795449898,3.519646654,2.647099833,1.483330408,8.509480282,3.972116827,,,,,,,,,,,,,76.31799163,34.14225941,42.17573222,,5.223621966,2.200370218,2.600467914,0.422783834,2.350452489,0.019230769,2.073359729,0.677411559,4.800838132,0.422783834,,,,76971.58333,9694.363636,86665.94697,43332.97348,,,,,,
1989,11.74522829,5.315095371,3.591414835,2.841946346,5.331598717,2.639042637,3.229143936,0.548671261,8.906510206,2.841946346,,,,,,,,,,,,,112.1705889,36.32111231,75.84947659,,6.76625,3.155416667,2.828541667,0.782291667,2.906041667,0.166666667,2.831875,0.845,5.983958333,0.782291667,,,,68658.58333,8474.166667,77132.75,38566.375,,,,,,
1990,7.509668666,3.278535342,2.36720593,1.866836479,3.156860163,0.977791244,1.868615922,1.509310422,5.645741273,1.866836479,,,,,,,,,,,,,66.37915176,15.08840061,51.29075115,,3.294634378,1.179962013,1.658357075,0.45631529,1.366096866,0.102801519,1.345916429,0.429487179,2.838319088,0.45631529,,,,81699.83333,2976.75,84676.58333,42338.29167,,,,,,
1991,7.870023728,3.035089494,3.18134624,1.656443112,3.415655995,1.190601734,2.184428977,1.08219214,6.216435734,1.656443112,,,,,,,,,,,,,53.2242506,12.94160357,40.28264703,,4.841666667,0.9375,3.241666667,0.6625,1.5375,0.075,2.208333333,0.866666667,4.179166667,0.6625,,,,82034.91667,11902,93936.91667,46968.45833,,,,,,
1992,20.09015208,3.192385115,8.208187786,8.692348071,6.739848338,8.198996989,2.909114841,2.244960805,11.4005729,8.692348071,,,,,,,,,,,,,60.86402821,11.08836207,49.77566614,,5.506985294,1.058639706,3.581066176,0.867279412,1.825919118,0.276102941,2.059926471,0.935110294,4.639705882,0.867279412,,,,69565.75,16632.08333,86197.83333,43098.91667,,,,,,
1993,8.622407386,2.452360821,4.455851167,1.717010146,4.017842252,1.432627383,2.352410886,0.822341613,6.908211988,1.717010146,,,,,,,,,,,,,69.65873588,27.23624129,42.42249459,,5.494047619,2.320436508,2.383928571,0.78968254,2.380952381,0.200396825,1.804563492,0.875992063,4.704365079,0.78968254,,,,50316.08333,13979.41667,64295.5,32147.75,,,,,,
1994,15.40750389,4.659624174,7.508564344,3.242070673,7.244652031,2.437795397,3.467245839,2.250835571,12.16818852,3.242070673,,,,,,,,,,,,,45.44869774,19.01746863,26.43122911,,8.25,2.388888889,4.960648148,0.900462963,2.856481481,0.104166667,3.634259259,1.423611111,7.349537037,0.900462963,,,,92410.91667,22631.25,115042.1667,57521.08333,,,,,,
1995,5.670893849,1.754516044,2.50823632,1.410730745,2.565764198,1.003451475,1.373279512,0.722339256,4.262752363,1.410730745,,,,,,,,,,,,,71.89168114,21.81122178,50.08045936,,4.792418301,1.107058824,2.368300654,1.317058824,1.432745098,0.063529412,1.415163399,1.81745098,3.475359477,1.317058824,,,,83781,19060.25,102841.25,51420.625,,,,,,
1996,20.2825631,5.427508906,8.519796232,6.337436846,7.001557999,6.490793766,4.677226728,2.115163491,13.94730514,6.337436846,,,,,,,,,,,,,57.00210526,23.69122807,33.31087719,,9.760683761,3.733974359,4.995726496,1.030982906,3.74465812,0.174145299,4.139957265,1.701923077,8.729700855,1.030982906,,,,57685.91667,17231.36364,74917.2803,37458.64015,,,,,,
1997,9.911642163,3.895550166,4.411453718,1.606427538,4.821132159,1.304990127,2.838959799,0.948349337,8.307003884,1.606427538,,,,,,,,,,,,,36.42997011,12.77268199,23.65728812,,7.874621849,1.93394958,3.830238095,2.110434174,2.740364146,0.318053221,2.364495798,2.451708683,5.764187675,2.110434174,,,,65621.83333,17455.09091,83076.92424,41538.46212,,,,,,
1998,2.895548214,0.635371108,1.390833565,0.871695763,1.099375257,0.521165192,0.710169185,0.567190802,2.026204673,0.871695763,,,,,,,,,,,,,31.25298,9.364350423,21.88862958,,12.08316993,3.700081699,6.605800654,1.777287582,3.607107843,0.466911765,4.770261438,3.238888889,10.30588235,1.777287582,,,,55335.91667,12853.18182,68189.09848,34094.54924,,,,,,
1999,6.074371726,1.435715585,3.132581027,1.508674003,2.68714695,1.095888657,1.227736665,1.066198343,4.568296612,1.508674003,9.057971239,0,7.246376991,1.811594248,7.246376991,1.811594248,7.24637699,0,3.623188495,3.623188495,3.623188495,3.623188495,68.68023696,24.35971672,44.32052024,,12.93978668,3.188258219,6.871258058,2.880270407,5.023169031,0.346752226,3.775444257,3.794421169,10.05951628,2.880270407,,,,57644.16667,23198,80842.16667,40421.08333,,,,,,
2000,9.658995833,0.816930642,4.534764393,4.309811725,2.521130461,3.638085242,1.810655335,1.691635721,5.351695035,4.309811725,7.246376992,0,0,4.830917995,0,4.830917995,2.415458997,0,2.415458997,0,2.415458997,0,26.65032982,12.46007209,14.19025773,,10.54039855,3.275678054,5.101923741,2.162796756,3.919442719,0.382729469,3.428036577,2.810189786,8.377601794,2.162796756,,,,64392,18268.18182,82660.18182,41330.09091,,,,,,
2001,26.95724314,4.881045317,8.907989802,13.17016854,8.715683313,9.841504979,4.308175308,4.093840057,13.78903512,13.17016854,3.623188495,0,0,3.623188495,0,3.623188495,3.019323667,0,0,3.019323667,0,3.019323667,19.5335277,9.978134111,9.555393586,,4.969551282,1.245726496,3.136752137,0.58707265,1.901175214,0.0625,1.686431624,1.319444444,4.382478632,0.58707265,,,,76517.41667,25301.5,101818.9167,50909.45833,,,,,,
2002,2.296105556,0.327685458,1.277158007,0.691417647,1.060842974,0.430741667,0.51275049,0.29192598,1.604843464,0.691417647,0,0,0,0,0,0,4.5289855,0,1.8115942,2.7173913,1.8115942,2.7173913,50.68130681,16.53316533,34.14814148,,6.227777778,1.603174603,3.45952381,1.165079365,2.233333333,0.180555556,2.187301587,1.626587302,5.062698413,1.165079365,,,,63637.5,17402.6,81040.1,40520.05,,,,,,
2003,6.0625,0.479166667,1.847222222,3.736111111,1.597222222,3.458333333,0.520833333,0.486111111,2.326388889,3.736111111,3.623188495,0,3.623188495,0,3.623188495,0,9.057971239,1.811594248,4.528985619,2.717391372,6.340579867,2.717391372,16.879754,8.912686754,7.967067248,,2.365555556,0.531666667,1.230555556,0.603333333,0.782222222,0.04,0.796111111,0.747222222,1.762222222,0.603333333,,4305.5,6618.5,31129.75,4975.25,47029,11757.25,,,,,,
2004,19.75694444,4.130611863,11.38067691,4.245655674,5.768226247,3.274979247,3.352263841,2.737955217,15.51128877,4.245655674,7.246376993,0,3.623188496,3.623188496,3.623188496,3.623188496,3.623188495,0,0,3.623188495,0,3.623188495,114.3237293,60.55274861,53.77098065,,8.725946276,2.713675214,3.947191697,1.842857143,3.138156288,0.239010989,2.610927961,2.515628816,6.660866911,1.842857143,,10195.7475,18718.77778,12247.50167,7478.575,48640.60194,12160.15049,2.330669865,2.452029551,2.363444093,3.601048598,10.74719211,2.686798027
2005,13.94583333,6.103115079,6.407519841,1.435198413,7.169404762,0.88,4.573531746,1.322896825,12.51063492,1.435198413,12.68115973,1.811594248,0,10.86956549,1.811594248,10.86956549,0,0,0,0,0,0,65.96144796,34.92606852,31.03537944,,4.05849359,1.293269231,2.178685897,0.586538462,1.362980769,0.153044872,1.664262821,0.878205128,3.471955128,0.586538462,,6530.132727,14937.52,12951.02333,9602.5,44021.17606,11005.29402,2.753821348,3.065894459,3.263968008,3.814460297,12.89814411,3.224536028
2006,15.09848485,7.451588432,5.684793759,1.962102657,7.546071795,1.156239664,4.821191592,1.574981797,13.13638219,1.962102657,21.73913098,0,0,21.73913098,0,21.73913098,4.5289855,0,1.811594208,2.717391292,1.811594208,2.717391292,55.55014446,28.31502517,27.23511929,1.596656406,3.090277778,1.195833333,1.300757576,0.593686869,1.249242424,0.06780303,0.968686869,0.804545455,2.496590909,0.593686869,,10142.44667,19140.29091,11126.38583,3998.066667,44407.19008,11101.79752,2.491597788,2.886101399,3.497397593,3.258794805,12.13389158,3.033472896
2007,9.592013889,3.803229626,4.346304593,1.44247967,4.150455367,0.872124989,3.640341084,0.92909245,8.149534219,1.44247967,48.14771843,0,14.98682486,33.16089357,14.98682486,33.16089357,3.623188496,3.623188496,0,0,3.623188496,0,43.51330637,19.81666839,23.69663798,1.722439093,2.301420455,0.438825758,1.084375,0.778219697,0.748863636,0.016666667,0.588257576,0.947632576,1.523200758,0.778219697,,5782.6075,15092.93333,11355.98333,8474.2,40705.72417,10176.43104,2.400821026,2.611519636,2.812669455,3.221146171,11.04615629,2.761539072
2008,10.03125,3.488908269,3.9271711,2.61517063,4.504485125,1.681291844,2.641245952,1.204227079,7.41607937,2.61517063,0,0,0,0,0,0,,,,,,,51.87003437,21.670259,30.19977537,2.202487118,4.104166667,1.260416667,1.708333333,1.135416667,1.307291667,0.223958333,1.286458333,1.286458333,2.96875,1.135416667,,6629.965833,18145.92727,13701.57667,10854.47818,49331.94795,12332.98699,2.442702927,3.345429566,2.512984547,2.808728068,11.10984511,2.777461277
2009,1.861111111,0.285714286,0.876984127,0.698412698,0.694444444,0.396825397,0.412698413,0.357142857,1.162698413,0.698412698,,,,,,,2.415458997,1.207729499,1.207729499,0,2.415458997,0,31.10712204,12.21146553,18.89565651,0.622471894,2.295138889,0.789930556,0.850694444,0.654513889,0.678819444,0.046875,0.770833333,0.798611111,1.640625,0.654513889,,4424.410833,13537.01818,11924.69333,13642.5,43528.62235,10882.15559,1.622180703,2.767912235,2.128441605,2.617880201,9.136414745,2.284103686
2010,3.602922078,0.368506494,1.36475469,1.869660895,0.937301587,1.455916306,0.476695527,0.630735931,1.733261183,1.869660895,65.21739198,3.623188496,32.60869599,28.98550749,36.23188449,28.98550749,7.24637699,0,3.623188495,3.623188495,3.623188495,3.623188495,19.28829762,7.598414856,11.68988276,1.258421724,2.875661376,0.994708995,1.423280423,0.457671958,1.08994709,0.060846561,1.174603175,0.55026455,2.417989418,0.457671958,,4893.006667,18481.23636,8352.726667,13682.2,45409.1697,11352.29242,1.892634345,3.062465468,2.192636318,3.272128501,10.41986463,2.604966158
2011,10.08766234,1.071428571,4.854737855,4.161495911,2.717412217,3.882154882,1.653799904,1.834295334,5.926166426,4.161495911,,,,,,,10.86956549,0,10.86956549,0,10.86956549,0,40.19162949,13.86732412,26.32430537,1.501418722,2.670955882,0.898815359,1.098120915,0.674019608,0.779616013,0.086601307,1.086397059,0.718341503,1.996936275,0.674019608,,6913.448,34407.93818,18532.15,13421.8,73275.33618,18318.83405,2.351529225,3.605159165,2.889209376,3.073558607,11.91945637,2.979864093
2012,3.997496684,1.339423077,1.839323607,0.81875,1.679227454,0.675,0.818269231,0.325,3.178746684,0.81875,1291.062821,0,1061.594219,229.4686016,1061.594219,229.4686016,1.811594248,0,0,1.811594248,0,1.811594248,41.76340781,24.05142836,17.71197945,2.46230477,1.35,0.344444444,0.788888889,0.216666667,0.577777778,0.027777778,0.35,0.394444444,1.133333333,0.216666667,,10499.325,37440.54917,26145.27417,18527.66667,92612.815,23153.20375,2.954244095,3.371014459,3.212964532,3.090378189,12.62860128,3.157150319
2013,2.170138889,1.09375,0.8125,0.263888889,1.236111111,0.277777778,0.538194444,0.118055556,1.90625,0.263888889,,,,,,,1.207729499,0,1.207729499,0,1.207729499,0,67.42347751,18.07986979,49.34360772,1.338590387,2.201923077,0.453846154,1.020192308,0.727884615,0.503846154,0.100961538,0.8,0.797115385,1.474038462,0.727884615,,10124.27556,20967.31167,13975.42333,19450.11917,64517.12972,16129.28243,2.593812426,2.90815032,1.784600629,2.429938421,9.716501795,2.429125449
2014,1.6875,0.364583333,0.614583333,0.708333333,0.354166667,0.520833333,0.135416667,0.229166667,0.979166667,0.708333333,,,,,,,7.246376992,0,0,7.246376992,0,7.246376992,33.29984774,18.80520484,14.4946429,0.588738549,1.477777778,0.244444444,0.6,0.633333333,0.711111111,0.133333333,0.133333333,0.5,0.844444444,0.633333333,,8693.409091,20607.38182,7471.796667,19971.75,56744.33758,14186.08439,2.051106196,2.844751014,2.268621986,2.763561877,9.928041072,2.482010268
2015,3.166666667,1.020833333,0.646130952,1.480952381,0.994642857,1.005952381,0.660416667,0.424404762,1.666964286,1.480952381,7.24637699,7.24637699,0,0,7.24637699,0,0,0,0,0,0,0,29.51853716,10.35976789,19.15876927,1.605047227,6.093333333,0.958333333,2.738333333,2.396666667,2.188333333,0.408333333,0.766666667,1.871666667,3.696666667,2.396666667,,8790.973333,14895.66667,8551.466667,20807.625,53045.73167,13261.43292,2.230928702,2.694943012,2.376531724,2.227238248,9.529641685,2.382410421
2016,9.818181818,1.056818182,2.227272727,5.965909091,1.75,3.988636364,1.386363636,2.102272727,3.284090909,5.965909091,7.24637699,0,0,7.24637699,0,7.24637699,0,0,0,0,0,0,32.67326143,12.68393488,19.98932655,2.273138556,3.140548341,1.025901876,0.955988456,1.025324675,0.732972583,0.105339105,1.03008658,1.073881674,1.981890332,1.025324675,16.94267981,13792.53333,22528.53636,12275.66667,21797.08333,70393.8197,17598.45492,2.602144762,3.329133448,2.951100941,2.721543483,11.60392263,2.900980659
2017,8.415719697,1.03125,2.645833333,3.634469697,1.958333333,2.832386364,1.1875,1.229166667,3.677083333,3.634469697,14.49275399,0,7.246376993,7.246376993,7.246376993,7.246376993,3.623188495,0,1.811594248,1.811594248,1.811594248,1.811594248,34.47886567,18.37055624,16.10830943,2.029875494,5.057414966,2.141564626,1.582244898,1.333605442,1.820680272,0.377619048,1.569795918,0.680748299,3.723809524,1.333605442,15.87911966,10880.66667,26567.75,10091.39583,17506.33333,65046.14583,16261.53646,2.789275709,3.130960732,2.731854158,2.47254033,11.12463093,2.781157732
2018,10.42708333,2.135645604,2.857371795,5.079899267,2.793040293,4.506982601,1.583791209,1.116185897,4.993017399,5.079899267,7.24637699,0,7.24637699,0,7.24637699,0,1.811594248,0,0,1.811594248,0,1.811594248,43.66383453,23.01877687,20.64505767,2.99360873,4.847405372,2.279359393,1.389956068,0.841765125,1.293488592,0.09793956,1.876106682,0.922854868,3.669315461,0.841765125,17.38529766,11119.09333,24930.41667,8696.475833,13298,58043.98583,14510.99646,2.566599868,2.694385236,2.557603059,3.164797381,10.98338554,2.745846386
