ProjID,Coll,StationCode,StartTime,Lifestage,CPUE
T06,20067012,CH31,2006-01-04 00:01:00,Total,0
T06,20067014,CH29,2006-01-04 00:01:00,Total,0
T06,20067015,CH20,2006-01-04 00:01:00,Total,0
T06,20067016,CH72,2006-01-04 00:01:00,Total,0
T06,20067017,CH21,2006-01-04 00:01:00,Total,0
T06,20067018,CH14,2006-01-04 00:01:00,Total,0
T06,20067023,CH11,2006-01-04 00:01:00,Total,0
T06,20067044,AR22,2006-01-13 00:01:00,Total,0
T06,20067045,AR20,2006-01-13 00:01:00,Total,0
T06,20067046,CH466,2006-01-13 00:01:00,Total,0
T06,20067047,CH466,2006-01-13 00:01:00,Total,0
T06,20067048,AR11,2006-01-13 00:01:00,Total,0
T06,20067049,AR27,2006-01-13 00:01:00,Total,0
T06,20067050,AR03,2006-01-13 00:01:00,Total,0
T06,20067054,AR13,2006-01-13 00:01:00,Total,0
T06,20067055,AR29,2006-01-13 00:01:00,Total,0
T06,20067056,AR32,2006-01-13 00:01:00,Total,0
T06,20067057,AR05,2006-01-13 00:01:00,Total,0
T06,20067085,LW62,2006-01-19 00:01:00,Total,0
T06,20067086,LW29,2006-01-19 00:01:00,Total,0
T06,20067087,LW19,2006-01-19 00:01:00,Total,0
T06,20067088,LW09,2006-01-19 00:01:00,Total,0
T06,20067089,LW79,2006-01-19 00:01:00,Total,0
T06,20067090,LW28,2006-01-19 00:01:00,Total,0
T06,20067091,LW23,2006-01-19 00:01:00,Total,0
T06,20067092,LW47,2006-01-19 00:01:00,Total,0
T06,20067093,LW18,2006-01-19 00:01:00,Total,0
T06,20067094,LW21,2006-01-19 00:01:00,Total,0
T06,20067148,AR10,2006-02-02 00:01:00,Total,0
T06,20067149,CH105,2006-02-02 00:01:00,Total,0
T06,20067150,AR20,2006-02-02 00:01:00,Total,0
T06,20067151,AR17,2006-02-02 00:01:00,Total,0
T06,20067152,AR29,2006-02-02 00:01:00,Total,0
T06,20067153,AR03,2006-02-02 00:01:00,Total,0
T06,20067154,AR23,2006-02-02 00:01:00,Total,0
T06,20067155,AR28,2006-02-02 00:01:00,Total,0
T06,20067156,AR14,2006-02-02 00:01:00,Total,0
T06,20067157,AR12,2006-02-02 00:01:00,Total,0
T06,20067158,CH463,2006-02-02 00:01:00,Total,0
T06,20067159,AR27,2006-02-02 00:01:00,Total,0
T06,20067161,AR31,2006-02-02 00:01:00,Total,0
T06,20067162,CH31,2006-02-03 00:01:00,Total,0
T06,20067164,CH35,2006-02-03 00:01:00,Total,0
T06,20067168,CH37,2006-02-03 00:01:00,Total,0
T06,20067169,CH33,2006-02-03 00:01:00,Total,0
T06,20067170,CH05,2006-02-03 00:01:00,Total,0
T06,20067171,CH03,2006-02-03 00:01:00,Total,0
T06,20067172,CH12,2006-02-03 00:01:00,Total,0
T06,20067173,CH14,2006-02-03 00:01:00,Total,1
T06,20067186,LW29,2006-02-13 00:01:00,Total,0
T06,20067187,CH8,2006-02-13 00:01:00,Total,0
T06,20067189,LW09,2006-02-13 00:01:00,Total,0
T06,20067190,LW22,2006-02-13 00:01:00,Total,0
T06,20067192,LW28,2006-02-13 00:01:00,Total,0
T06,20067193,CH60,2006-02-13 00:01:00,Total,0
T06,20067194,LW19,2006-02-13 00:01:00,Total,0
T06,20067196,LW18,2006-02-13 00:01:00,Total,0
T06,20067293,CH30,2006-03-13 00:01:00,Total,1
T06,20067294,CH31,2006-03-13 00:01:00,Total,0
T06,20067295,CH29,2006-03-13 00:01:00,Total,0
T06,20067296,CH20,2006-03-13 00:01:00,Total,0
T06,20067297,CH21,2006-03-13 00:01:00,Total,0
T06,20067298,CH36,2006-03-13 00:01:00,Total,0
T06,20067300,CH02,2006-03-13 00:01:00,Total,0
T06,20067301,CH1,2006-03-13 00:01:00,Total,0
T06,20067302,CH12,2006-03-13 00:01:00,Total,0
T06,20067303,CH16,2006-03-13 00:01:00,Total,0
T06,20067304,LW62,2006-03-15 00:01:00,Total,0
T06,20067305,LW29,2006-03-15 00:01:00,Total,0
T06,20067306,LW07,2006-03-15 00:01:00,Total,0
T06,20067307,LW08,2006-03-15 00:01:00,Total,0
T06,20067308,LW10,2006-03-15 00:01:00,Total,0
T06,20067309,LW20,2006-03-15 00:01:00,Total,0
T06,20067310,LW79,2006-03-15 00:01:00,Total,0
T06,20067311,LW28,2006-03-15 00:01:00,Total,0
T06,20067312,LW23,2006-03-15 00:01:00,Total,0
T06,20067313,LW18,2006-03-15 00:01:00,Total,0
T06,20067365,AR10,2006-03-29 00:01:00,Total,0
T06,20067366,AR22,2006-03-29 00:01:00,Total,0
T06,20067367,AR20,2006-03-29 00:01:00,Total,0
T06,20067368,CH466,2006-03-29 00:01:00,Total,0
T06,20067369,AR18,2006-03-29 00:01:00,Total,0
T06,20067370,AR04,2006-03-29 00:01:00,Total,1
T06,20067371,AR27,2006-03-29 00:01:00,Total,11
T06,20067372,AR01,2006-03-29 00:01:00,Total,0
T06,20067373,AR24,2006-03-29 00:01:00,Total,0
T06,20067374,AR14,2006-03-29 00:01:00,Total,0
T06,20067375,AR12,2006-03-29 00:01:00,Total,0
T06,20067376,AR31,2006-03-29 00:01:00,Total,0
T06,20067377,AR05,2006-03-29 00:01:00,Total,0
T06,20067412,AR10,2006-04-11 00:01:00,Total,0
T06,20067413,AR22,2006-04-11 00:01:00,Total,0
T06,20067414,AR20,2006-04-11 00:01:00,Total,0
T06,20067415,AR29,2006-04-11 00:01:00,Total,0
T06,20067416,AR11,2006-04-11 00:01:00,Total,0
T06,20067417,AR04,2006-04-11 00:01:00,Total,0
T06,20067418,AR03,2006-04-11 00:01:00,Total,0
T06,20067420,AR23,2006-04-11 00:01:00,Total,0
T06,20067421,AR14,2006-04-11 00:01:00,Total,0
T06,20067423,AR11,2006-04-11 00:01:00,Total,0
T06,20067424,AR27,2006-04-11 00:01:00,Total,0
T06,20067425,AR05,2006-04-11 00:01:00,Total,0
T06,20067451,CH30,2006-04-19 00:01:00,Total,1
T06,20067452,CH31,2006-04-19 00:01:00,Total,0
T06,20067453,CH29,2006-04-19 00:01:00,Total,0
T06,20067454,CH20,2006-04-19 00:01:00,Total,0
T06,20067455,CH18,2006-04-19 00:01:00,Total,1
T06,20067456,CH17,2006-04-19 00:01:00,Total,0
T06,20067457,CH36,2006-04-19 00:01:00,Total,0
T06,20067458,CH02,2006-04-19 00:01:00,Total,0
T06,20067459,CH05,2006-04-19 00:01:00,Total,0
T06,20067460,CH12,2006-04-19 00:01:00,Total,0
T06,20067461,CH555,2006-04-19 00:01:00,Total,0
T06,20067476,LW31,2006-04-26 00:01:00,Total,0
T06,20067477,LW28,2006-04-26 00:01:00,Total,0
T06,20067478,LW29,2006-04-26 00:01:00,Total,0
T06,20067479,LW07,2006-04-26 00:01:00,Total,0
T06,20067480,LW09,2006-04-26 00:01:00,Total,1
T06,20067481,LW21,2006-04-26 00:01:00,Total,1
T06,20067482,LW62,2006-04-26 00:01:00,Total,0
T06,20067483,LW16,2006-04-26 00:01:00,Total,0
T06,20067484,LW79,2006-04-26 00:01:00,Total,0
T06,20067485,LW18,2006-04-26 00:01:00,Total,0
T06,20067526,CH30,2006-05-10 00:01:00,Total,2
T06,20067527,CH31,2006-05-10 00:01:00,Total,1
T06,20067528,CH05,2006-05-10 00:01:00,Total,1
T06,20067529,CH19,2006-05-10 00:01:00,Total,0
T06,20067530,CH15,2006-05-10 00:01:00,Total,0
T06,20067531,CH37,2006-05-10 00:01:00,Total,0
T06,20067532,CH36,2006-05-10 00:01:00,Total,3
T06,20067533,CH18,2006-05-10 00:01:00,Total,4
T06,20067534,CH17,2006-05-10 00:01:00,Total,0
T06,20067535,AR22,2006-05-11 00:01:00,Total,0
T06,20067536,AR20,2006-05-11 00:01:00,Total,0
T06,20067537,AR18,2006-05-11 00:01:00,Total,0
T06,20067538,AR29,2006-05-11 00:01:00,Total,0
T06,20067539,AR27,2006-05-11 00:01:00,Total,1
T06,20067540,AR03,2006-05-11 00:01:00,Total,0
T06,20067541,CH463,2006-05-11 00:01:00,Total,0
T06,20067542,AR24,2006-05-11 00:01:00,Total,0
T06,20067543,AR28,2006-05-11 00:01:00,Total,0
T06,20067544,AR13,2006-05-11 00:01:00,Total,0
T06,20067545,AR11,2006-05-11 00:01:00,Total,0
T06,20067546,AR31,2006-05-11 00:01:00,Total,0
T06,20067547,AR05,2006-05-11 00:01:00,Total,0
T06,20067548,LW31,2006-05-12 00:01:00,Total,0
T06,20067549,LW30,2006-05-12 00:01:00,Total,0
T06,20067550,LW79,2006-05-12 00:01:00,Total,0
T06,20067551,CH8,2006-05-12 00:01:00,Total,0
T06,20067552,LW16,2006-05-12 00:01:00,Total,0
T06,20067553,LW23,2006-05-12 00:01:00,Total,0
T06,20067554,LW28,2006-05-12 00:01:00,Total,0
T06,20067555,LW25,2006-05-12 00:01:00,Total,0
T06,20067556,LW19,2006-05-12 00:01:00,Total,0
T06,20067557,LW18,2006-05-12 00:01:00,Total,1
T06,20067558,LW09,2006-05-12 00:01:00,Total,2
T06,20067582,CH464,2006-05-18 00:01:00,Total,0
T06,20067583,CH599,2006-05-18 00:01:00,Total,0
T06,20067640,CH5,2006-06-08 00:01:00,Total,1
T06,20067643,CH5,2006-06-09 00:01:00,Total,0
T06,20067648,AR10,2006-06-12 00:01:00,Total,3
T06,20067649,AR20,2006-06-12 00:01:00,Total,1
T06,20067650,AR19,2006-06-12 00:01:00,Total,1
T06,20067651,AR17,2006-06-12 00:01:00,Total,0
T06,20067652,AR26,2006-06-12 00:01:00,Total,0
T06,20067653,AR01,2006-06-12 00:01:00,Total,0
T06,20067654,AR23,2006-06-12 00:01:00,Total,0
T06,20067655,AR28,2006-06-12 00:01:00,Total,1
T06,20067656,AR14,2006-06-12 00:01:00,Total,0
T06,20067657,AR12,2006-06-12 00:01:00,Total,0
T06,20067658,AR31,2006-06-12 00:01:00,Total,0
T06,20067659,AR05,2006-06-12 00:01:00,Total,2
T06,20067671,CH109,2006-06-15 00:01:00,Total,0
T06,20067672,LW29,2006-06-15 00:01:00,Total,0
T06,20067673,LW28,2006-06-15 00:01:00,Total,0
T06,20067674,LW06,2006-06-15 00:01:00,Total,0
T06,20067675,LW09,2006-06-15 00:01:00,Total,5
T06,20067676,LW22,2006-06-15 00:01:00,Total,0
T06,20067677,LW62,2006-06-15 00:01:00,Total,1
T06,20067678,LW15,2006-06-15 00:01:00,Total,0
T06,20067679,CH60,2006-06-15 00:01:00,Total,2
T06,20067680,LW16,2006-06-15 00:01:00,Total,0
T06,20067681,LW47,2006-06-15 00:01:00,Total,2
T06,20067682,LW20,2006-06-15 00:01:00,Total,0
T06,20067683,CH13,2006-06-16 00:01:00,Total,4
T06,20067730,CH132,2006-06-22 00:01:00,Total,0
T06,20067733,CH30,2006-06-23 00:01:00,Total,0
T06,20067734,CH29,2006-06-23 00:01:00,Total,0
T06,20067735,CH20,2006-06-23 00:01:00,Total,4
T06,20067736,CH14,2006-06-23 00:01:00,Total,6
T06,20067737,CH36,2006-06-23 00:01:00,Total,4
T06,20067738,CH03,2006-06-23 00:01:00,Total,14
T06,20067739,CH05,2006-06-23 00:01:00,Total,5
T06,20067740,CH16,2006-06-23 00:01:00,Total,6
T06,20067775,CH599,2006-06-29 00:01:00,Total,3
T06,20067795,AR10,2006-07-10 00:01:00,Total,1
T06,20067796,AR22,2006-07-10 00:01:00,Total,1
T06,20067797,AR20,2006-07-10 00:01:00,Total,2
T06,20067798,AR18,2006-07-10 00:01:00,Total,0
T06,20067799,AR32,2006-07-10 00:01:00,Total,0
T06,20067800,AR05,2006-07-10 00:01:00,Total,0
T06,20067802,AR23,2006-07-10 00:01:00,Total,0
T06,20067803,AR28,2006-07-10 00:01:00,Total,1
T06,20067804,AR14,2006-07-10 00:01:00,Total,3
T06,20067805,AR26,2006-07-10 00:01:00,Total,2
T06,20067825,CH30,2006-07-14 00:01:00,Total,1
T06,20067826,CH29,2006-07-14 00:01:00,Total,1
