ProjID,Coll,StartTime,StationCode,Salinity,Temp,CPUE,JuvCPUE,SubadultCPUE,AdultCPUE,ImmatureFemaleCPUE,MatureFemaleCPUE,ImmatureMaleCPUE,MatureMaleCPUE,SublegalCPUE,LegalCPUE
B90,19800002,1980-01-03 0:01:00,CH09,27,11.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800003,1980-01-03 0:01:00,CH10,16,11,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800004,1980-01-08 0:01:00,CH09,25,10.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800006,1980-01-08 0:01:00,CH10,16,10.2,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800007,1980-01-14 0:01:00,CH10,18,9.8,7.5199,5.445444828,2.074455172,0,4.148910345,0,3.370989655,0,7.5199,0
B90,19800008,1980-01-14 0:01:00,CH09,24,9.8,9.5959,6.483716216,2.074789189,1.037394595,5.965018919,0.518697297,2.593486486,0.518697297,8.558505405,1.037394595
B90,19800011,1980-01-23 0:01:00,CH09,23,11.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800012,1980-01-23 0:01:00,CH10,15,12.4,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800025,1980-01-29 0:01:00,CH10,11,11.2,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800026,1980-01-29 0:01:00,CH09,14,11.7,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800031,1980-02-05 0:01:00,CH07,19,8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800032,1980-02-05 0:01:00,CH10,10,7.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800033,1980-02-05 0:01:00,CH09,14,8.1,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800034,1980-02-12 0:01:00,CH07,19,7.1,0.7729,0,0.257633333,0.515266667,0.257633333,0.515266667,0,0,0.257633333,0.515266667
B90,19800038,1980-02-12 0:01:00,CH09,18,8.6,0.7729,0.257633333,0.257633333,0.257633333,0.257633333,0,0.515266667,0,0.515266667,0.257633333
B90,19800039,1980-02-12 0:01:00,CH10,15,8.9,4.4059,2.850876471,1.295852941,0.259170588,1.555023529,0.259170588,2.591705882,0,4.146729412,0.259170588
B90,19800052,1980-02-19 0:01:00,CH10,15,9.4,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800058,1980-02-27 0:01:00,CH07,24,10.9,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800060,1980-02-27 0:01:00,CH09,20,11,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800061,1980-02-27 0:01:00,CH10,18,12,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800063,1980-03-05 0:01:00,CH09,24,10,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800064,1980-03-05 0:01:00,CH10,19,9.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800065,1980-03-05 0:01:00,CH07,26,9.1,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800067,1980-03-10 0:01:00,CH09,22,11.2,1.8109,0.7761,0.2587,0.7761,1.0348,0,0.2587,0.5174,1.0348,0.7761
B90,19800068,1980-03-10 0:01:00,CH07,26,11,1.2919,0.25838,0,1.03352,0.25838,1.03352,0,0,0.25838,1.03352
B90,19800070,1980-03-10 0:01:00,CH10,21,11.4,9.3364,2.074755556,6.483611111,0.778033333,5.446233333,0.259344444,2.852788889,0.778033333,8.558366667,0.778033333
B90,19800091,1980-03-20 0:01:00,CH10,12,13.9,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800092,1980-03-20 0:01:00,CH09,24,13.4,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800094,1980-03-20 0:01:00,CH07,21,13.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800096,1980-03-25 0:01:00,CH09,24,14.9,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800097,1980-03-25 0:01:00,CH07,16,14,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800099,1980-04-01 0:01:00,CH09,17,15.7,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800102,1980-04-01 0:01:00,CH07,22,15,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800104,1980-04-07 0:01:00,CH09,24,16.6,4.4059,1.555023529,0.777511765,2.073364706,1.036682353,1.295852941,1.036682353,1.036682353,2.332535294,2.073364706
B90,19800107,1980-04-07 0:01:00,CH07,27,16.4,0.7729,0,0,0.7729,0,0.7729,0,0,0,0.7729
B90,19800126,1980-04-14 0:01:00,CH10,0,20.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800128,1980-04-15 0:01:00,CH07,26,18.2,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800129,1980-04-15 0:01:00,CH09,12,19.1,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800133,1980-04-22 0:01:00,CH07,28,19.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800135,1980-04-22 0:01:00,CH09,26,18.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800139,1980-04-29 0:01:00,CH07,18,19.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800140,1980-04-29 0:01:00,CH09,NA,NA,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800141,1980-05-07 0:01:00,CH09,25,21.1,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800143,1980-05-07 0:01:00,CH07,24,20.4,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800146,1980-05-15 0:01:00,CH07,28,22.4,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800148,1980-05-15 0:01:00,CH09,20,22.6,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800149,1980-05-23 0:01:00,CH07,24,23.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800151,1980-05-23 0:01:00,CH09,20,24.9,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800152,1980-05-23 0:01:00,CH10,22,24.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800157,1980-05-29 0:01:00,CH07,18,25.4,1.2919,0,0,1.2919,0,1.2919,0,0,0,1.2919
B90,19800158,1980-05-29 0:01:00,CH09,20,25.3,28.0204,1.556688889,16.34523333,10.11847778,11.41571852,9.340133333,4.670066667,2.594481481,17.90192222,10.11847778
B90,19800159,1980-06-10 0:01:00,CH09,NA,26.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800161,1980-06-10 0:01:00,CH07,NA,27,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800162,1980-06-10 0:01:00,CH10,NA,27,25.6849,1.556660606,14.52883232,9.599407071,8.302189899,7.264416162,5.188868687,4.929425253,16.08549293,9.599407071
B90,19800163,1980-06-16 0:01:00,CH10,NA,26.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800165,1980-06-16 0:01:00,CH09,NA,26,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800166,1980-06-16 0:01:00,CH07,NA,26.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800167,1980-06-23 0:01:00,CH07,NA,26.5,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800168,1980-06-23 0:01:00,CH09,28,26.7,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800170,1980-06-30 0:01:00,CH07,33,27.3,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800171,1980-06-30 0:01:00,CH09,23,28.1,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800172,1980-06-30 0:01:00,CH10,21,28.4,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800173,1980-07-07 0:01:00,CH10,NA,30.3,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800174,1980-07-07 0:01:00,CH07,NA,28.7,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800176,1980-07-07 0:01:00,CH09,NA,29.1,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800177,1980-07-07 0:01:00,CH10,16,30.3,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800178,1980-07-17 0:01:00,CH07,24,28.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800180,1980-07-17 0:01:00,CH09,24,28.9,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800181,1980-07-28 0:01:00,CH10,16,29.8,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800182,1980-07-28 0:01:00,CH09,18,29.2,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800183,1980-07-28 0:01:00,CH07,22,28.9,-0.0056,0,0,0,0,0,0,0,0,0
B90,19800186,1980-08-04 0:01:00,CH07,21,29.9,-0.0056,0,0,0,0,0,0,0,0,0
