Year,CPUE,CPUE_1,CPUE_2,Juv,Juv_1,Juv_2,Subadult,Subadult_1,Subadult_2,Adult,Adult_1,Adult_2,IF,IF_1,IF_2,MF,MF_1,MF_2,IM,IM_1,IM_2,MM,MM_1,MM_2,Sublegal,Sublegal_1,Sublegal_2,Legal,Legal_1,Legal_2,SumLandings,SumLandingsCPUE
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48995.45455,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61153.58333,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76478.16667,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14362.63636,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5525.1,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23290.4,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35065.08333,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57795,
1980,4.008571429,,,1.182077922,,,2.061038961,,,0.765454545,,,1.837922078,,,0.161038961,,,1.193506494,,,0.787532468,,,3.243116883,,,0.765454545,,,42375.96212,
1981,3.392719298,4.008571429,,0.474078947,1.182077922,,2.234210526,2.061038961,,0.684429825,0.765454545,,1.045789474,1.837922078,,0.04,0.161038961,,1.259429825,1.193506494,,0.995833333,0.787532468,,2.708289474,3.243116883,,0.684429825,0.765454545,,42574.58333,
1982,12.75961538,3.392719298,4.008571429,4.400641026,0.474078947,1.182077922,6.615384615,2.234210526,2.061038961,1.743589744,0.684429825,0.765454545,3.903846154,1.045789474,1.837922078,0.173076923,0.04,0.161038961,6.022435897,1.259429825,1.193506494,2.099358974,0.995833333,0.787532468,11.01602564,2.708289474,3.243116883,1.743589744,0.684429825,0.765454545,28437.83333,
1983,5.536984127,12.75961538,3.392719298,1.986825397,4.400641026,0.474078947,2.477777778,6.615384615,2.234210526,1.072380952,1.743589744,0.684429825,2.067301587,3.903846154,1.045789474,0.179365079,0.173076923,0.04,1.912063492,6.022435897,1.259429825,1.238253968,2.099358974,0.995833333,4.464603175,11.01602564,2.708289474,1.072380952,1.743589744,0.684429825,42115.41667,
1984,7.749494949,5.536984127,12.75961538,2.951919192,1.986825397,4.400641026,3.744747475,2.477777778,6.615384615,1.052828283,1.072380952,1.743589744,2.846767677,2.067301587,3.903846154,0.136666667,0.179365079,0.173076923,2.99979798,1.912063492,6.022435897,1.481414141,1.238253968,2.099358974,6.696666667,4.464603175,11.01602564,1.052828283,1.072380952,1.743589744,39495.5,
1985,1.987762238,7.749494949,5.536984127,0.361538462,2.951919192,1.986825397,1.302680653,3.744747475,2.477777778,0.323543124,1.052828283,1.072380952,0.804545455,2.846767677,2.067301587,0.045454545,0.136666667,0.179365079,0.661072261,2.99979798,1.912063492,0.438228438,1.481414141,1.238253968,1.664219114,6.696666667,4.464603175,0.323543124,1.052828283,1.072380952,29395.75,
1986,4.794285714,1.987762238,7.749494949,0.17047619,0.361538462,2.951919192,3.36,1.302680653,3.744747475,1.263809524,0.323543124,1.052828283,0.66952381,0.804545455,2.846767677,0.057619048,0.045454545,0.136666667,1.82,0.661072261,2.99979798,2.167142857,0.438228438,1.481414141,3.53047619,1.664219114,6.696666667,1.263809524,0.323543124,1.052828283,51238.25,
1987,8.27254902,4.794285714,1.987762238,1.797435897,0.17047619,0.361538462,5.070437406,3.36,1.302680653,1.404675716,1.263809524,0.323543124,2.961387632,0.66952381,0.804545455,0.194720965,0.057619048,0.045454545,3.32760181,1.82,0.661072261,1.788838612,2.167142857,0.438228438,6.867873303,3.53047619,1.664219114,1.404675716,1.263809524,0.323543124,63657,
1988,5.223621966,8.27254902,4.794285714,2.200370218,1.797435897,0.17047619,2.600467914,5.070437406,3.36,0.422783834,1.404675716,1.263809524,2.350452489,2.961387632,0.66952381,0.019230769,0.194720965,0.057619048,2.073359729,3.32760181,1.82,0.677411559,1.788838612,2.167142857,4.800838132,6.867873303,3.53047619,0.422783834,1.404675716,1.263809524,86665.94697,
1989,6.76625,5.223621966,8.27254902,3.155416667,2.200370218,1.797435897,2.828541667,2.600467914,5.070437406,0.782291667,0.422783834,1.404675716,2.906041667,2.350452489,2.961387632,0.166666667,0.019230769,0.194720965,2.831875,2.073359729,3.32760181,0.845,0.677411559,1.788838612,5.983958333,4.800838132,6.867873303,0.782291667,0.422783834,1.404675716,77132.75,
1990,3.294634378,6.76625,5.223621966,1.179962013,3.155416667,2.200370218,1.658357075,2.828541667,2.600467914,0.45631529,0.782291667,0.422783834,1.366096866,2.906041667,2.350452489,0.102801519,0.166666667,0.019230769,1.345916429,2.831875,2.073359729,0.429487179,0.845,0.677411559,2.838319088,5.983958333,4.800838132,0.45631529,0.782291667,0.422783834,84676.58333,
1991,4.841666667,3.294634378,6.76625,0.9375,1.179962013,3.155416667,3.241666667,1.658357075,2.828541667,0.6625,0.45631529,0.782291667,1.5375,1.366096866,2.906041667,0.075,0.102801519,0.166666667,2.208333333,1.345916429,2.831875,0.866666667,0.429487179,0.845,4.179166667,2.838319088,5.983958333,0.6625,0.45631529,0.782291667,93936.91667,
1992,5.506985294,4.841666667,3.294634378,1.058639706,0.9375,1.179962013,3.581066176,3.241666667,1.658357075,0.867279412,0.6625,0.45631529,1.825919118,1.5375,1.366096866,0.276102941,0.075,0.102801519,2.059926471,2.208333333,1.345916429,0.935110294,0.866666667,0.429487179,4.639705882,4.179166667,2.838319088,0.867279412,0.6625,0.45631529,86197.83333,
1993,5.494047619,5.506985294,4.841666667,2.320436508,1.058639706,0.9375,2.383928571,3.581066176,3.241666667,0.78968254,0.867279412,0.6625,2.380952381,1.825919118,1.5375,0.200396825,0.276102941,0.075,1.804563492,2.059926471,2.208333333,0.875992063,0.935110294,0.866666667,4.704365079,4.639705882,4.179166667,0.78968254,0.867279412,0.6625,64295.5,
1994,8.25,5.494047619,5.506985294,2.388888889,2.320436508,1.058639706,4.960648148,2.383928571,3.581066176,0.900462963,0.78968254,0.867279412,2.856481481,2.380952381,1.825919118,0.104166667,0.200396825,0.276102941,3.634259259,1.804563492,2.059926471,1.423611111,0.875992063,0.935110294,7.349537037,4.704365079,4.639705882,0.900462963,0.78968254,0.867279412,115042.1667,
1995,4.792418301,8.25,5.494047619,1.107058824,2.388888889,2.320436508,2.368300654,4.960648148,2.383928571,1.317058824,0.900462963,0.78968254,1.432745098,2.856481481,2.380952381,0.063529412,0.104166667,0.200396825,1.415163399,3.634259259,1.804563492,1.81745098,1.423611111,0.875992063,3.475359477,7.349537037,4.704365079,1.317058824,0.900462963,0.78968254,102841.25,
1996,9.760683761,4.792418301,8.25,3.733974359,1.107058824,2.388888889,4.995726496,2.368300654,4.960648148,1.030982906,1.317058824,0.900462963,3.74465812,1.432745098,2.856481481,0.174145299,0.063529412,0.104166667,4.139957265,1.415163399,3.634259259,1.701923077,1.81745098,1.423611111,8.729700855,3.475359477,7.349537037,1.030982906,1.317058824,0.900462963,74917.2803,
1997,7.874621849,9.760683761,4.792418301,1.93394958,3.733974359,1.107058824,3.830238095,4.995726496,2.368300654,2.110434174,1.030982906,1.317058824,2.740364146,3.74465812,1.432745098,0.318053221,0.174145299,0.063529412,2.364495798,4.139957265,1.415163399,2.451708683,1.701923077,1.81745098,5.764187675,8.729700855,3.475359477,2.110434174,1.030982906,1.317058824,83076.92424,
1998,12.08316993,7.874621849,9.760683761,3.700081699,1.93394958,3.733974359,6.605800654,3.830238095,4.995726496,1.777287582,2.110434174,1.030982906,3.607107843,2.740364146,3.74465812,0.466911765,0.318053221,0.174145299,4.770261438,2.364495798,4.139957265,3.238888889,2.451708683,1.701923077,10.30588235,5.764187675,8.729700855,1.777287582,2.110434174,1.030982906,68189.09848,
1999,12.93978668,12.08316993,7.874621849,3.188258219,3.700081699,1.93394958,6.871258058,6.605800654,3.830238095,2.880270407,1.777287582,2.110434174,5.023169031,3.607107843,2.740364146,0.346752226,0.466911765,0.318053221,3.775444257,4.770261438,2.364495798,3.794421169,3.238888889,2.451708683,10.05951628,10.30588235,5.764187675,2.880270407,1.777287582,2.110434174,80842.16667,
2000,10.54039855,12.93978668,12.08316993,3.275678054,3.188258219,3.700081699,5.101923741,6.871258058,6.605800654,2.162796756,2.880270407,1.777287582,3.919442719,5.023169031,3.607107843,0.382729469,0.346752226,0.466911765,3.428036577,3.775444257,4.770261438,2.810189786,3.794421169,3.238888889,8.377601794,10.05951628,10.30588235,2.162796756,2.880270407,1.777287582,82660.18182,
2001,4.969551282,10.54039855,12.93978668,1.245726496,3.275678054,3.188258219,3.136752137,5.101923741,6.871258058,0.58707265,2.162796756,2.880270407,1.901175214,3.919442719,5.023169031,0.0625,0.382729469,0.346752226,1.686431624,3.428036577,3.775444257,1.319444444,2.810189786,3.794421169,4.382478632,8.377601794,10.05951628,0.58707265,2.162796756,2.880270407,101818.9167,
2002,6.227777778,4.969551282,10.54039855,1.603174603,1.245726496,3.275678054,3.45952381,3.136752137,5.101923741,1.165079365,0.58707265,2.162796756,2.233333333,1.901175214,3.919442719,0.180555556,0.0625,0.382729469,2.187301587,1.686431624,3.428036577,1.626587302,1.319444444,2.810189786,5.062698413,4.382478632,8.377601794,1.165079365,0.58707265,2.162796756,81040.1,
2003,2.365555556,6.227777778,4.969551282,0.531666667,1.603174603,1.245726496,1.230555556,3.45952381,3.136752137,0.603333333,1.165079365,0.58707265,0.782222222,2.233333333,1.901175214,0.04,0.180555556,0.0625,0.796111111,2.187301587,1.686431624,0.747222222,1.626587302,1.319444444,1.762222222,5.062698413,4.382478632,0.603333333,1.165079365,0.58707265,47029,
