"ProjID","Coll","StartTime","StationCode","Salinity","Temp","CPUE","JuvCPUE","SubadultCPUE","AdultCPUE","ImmatureFemaleCPUE","MatureFemaleCPUE","ImmatureMaleCPUE","MatureMaleCPUE","SublegalCPUE","LegalCPUE"
"B90",19800002,1980-01-03 00:01:00,"CH09",27,11.5,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800003,1980-01-03 00:01:00,"CH10",16,11,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800004,1980-01-08 00:01:00,"CH09",25,10.8,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800006,1980-01-08 00:01:00,"CH10",16,10.2,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800007,1980-01-14 00:01:00,"CH10",18,9.8,7.5199,5.44544482758621,2.07445517241379,0,4.14891034482759,0,3.37098965517241,0,7.5199,0
"B90",19800008,1980-01-14 00:01:00,"CH09",24,9.8,9.5959,6.48371621621622,2.07478918918919,1.03739459459459,5.96501891891892,0.518697297297297,2.59348648648649,0.518697297297297,8.55850540540541,1.03739459459459
"B90",19800011,1980-01-23 00:01:00,"CH09",23,11.8,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800012,1980-01-23 00:01:00,"CH10",15,12.4,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800025,1980-01-29 00:01:00,"CH10",11,11.2,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800026,1980-01-29 00:01:00,"CH09",14,11.7,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800031,1980-02-05 00:01:00,"CH07",19,8,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800032,1980-02-05 00:01:00,"CH10",10,7.5,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800033,1980-02-05 00:01:00,"CH09",14,8.1,-0.0056,0,0,0,0,0,0,0,0,0
"B90",19800034,1980-02-12 00:01:00,"CH07",19,7.1,0.7729,0,0.257633333333333,0.515266666666667,0.257633333333333,0.515266666666667,0,0,0.257633333333333,0.515266666666667
"B90",19800038,1980-02-12 00:01:00,"CH09",18,8.6,0.7729,0.257633333333333,0.257633333333333,0.257633333333333,0.257633333333333,0,0.515266666666667,0,0.515266666666667,0.257633333333333
