ProjID,StationCode,Year,Month,Lifestage,CPUE
Landings,CH01,1972,1,Legal,90840
Landings,CH01,1972,2,Legal,101362
Landings,CH01,1972,3,Legal,100100
Landings,CH01,1972,4,Legal,58060
Landings,CH01,1972,5,Legal,64720
Landings,CH01,1972,6,Legal,27120
Landings,CH01,1972,7,Legal,9599
Landings,CH01,1972,8,Legal,3412
Landings,CH01,1972,9,Legal,3526
Landings,CH01,1972,11,Legal,7842
Landings,CH01,1972,12,Legal,72369
Landings,CH01,1973,1,Legal,5468
Landings,CH01,1973,2,Legal,27330
Landings,CH01,1973,3,Legal,36360
Landings,CH01,1973,4,Legal,60500
Landings,CH01,1973,5,Legal,246824
Landings,CH01,1973,6,Legal,97050
Landings,CH01,1973,7,Legal,17971
Landings,CH01,1973,8,Legal,87566
Landings,CH01,1973,9,Legal,37297
Landings,CH01,1973,10,Legal,11571
Landings,CH01,1973,11,Legal,50151
Landings,CH01,1973,12,Legal,55755
Landings,CH01,1974,1,Legal,51269
Landings,CH01,1974,2,Legal,64687
Landings,CH01,1974,3,Legal,59850
Landings,CH01,1974,4,Legal,86224
Landings,CH01,1974,5,Legal,18123
Landings,CH01,1974,6,Legal,35929
Landings,CH01,1974,7,Legal,22660
Landings,CH01,1974,8,Legal,18052
Landings,CH01,1974,9,Legal,24739
Landings,CH01,1974,10,Legal,20240
Landings,CH01,1974,11,Legal,2455
Landings,CH01,1974,12,Legal,9710
Landings,CH01,1975,1,Legal,38574
Landings,CH01,1975,2,Legal,23553
Landings,CH01,1975,3,Legal,2585
Landings,CH01,1975,4,Legal,7940
Landings,CH01,1975,5,Legal,13580
Landings,CH01,1975,6,Legal,10515
Landings,CH01,1975,7,Legal,6950
Landings,CH01,1975,8,Legal,7810
Landings,CH01,1975,9,Legal,7840
Landings,CH01,1975,10,Legal,1398
Landings,CH01,1975,11,Legal,37244
Landings,CH01,1976,2,Legal,18783
Landings,CH01,1976,4,Legal,6953
Landings,CH01,1976,5,Legal,4310
Landings,CH01,1976,6,Legal,4237
Landings,CH01,1976,7,Legal,2909
Landings,CH01,1976,8,Legal,2407
Landings,CH01,1976,9,Legal,3976
Landings,CH01,1976,10,Legal,4281
Landings,CH01,1976,11,Legal,1320
Landings,CH01,1976,12,Legal,6075
Landings,CH01,1977,3,Legal,1940
Landings,CH01,1977,4,Legal,23606
Landings,CH01,1977,5,Legal,16272
Landings,CH01,1977,6,Legal,5654
Landings,CH01,1977,7,Legal,5804
Landings,CH01,1977,8,Legal,56837
Landings,CH01,1977,9,Legal,53132
Landings,CH01,1977,10,Legal,8766
Landings,CH01,1977,11,Legal,49840
Landings,CH01,1977,12,Legal,11053
Landings,CH01,1978,1,Legal,11304
Landings,CH01,1978,2,Legal,22569
Landings,CH01,1978,3,Legal,90515
Landings,CH01,1978,4,Legal,46240
Landings,CH01,1978,5,Legal,3966
