"Year","AshleyLandings","CooperLandings","ChsHarborLandings","WandoLandings","SumLandings","MeanLandings","AshleyCPUE","CooperCPUE","ChsHarborCPUE","WandoCPUE","SumCPUE","MeanCPUE"
1972,NA,NA,48995.4545454545,NA,48995.4545454545,48995.4545454545,NA,NA,NA,NA,NA,NA
1973,NA,NA,61153.5833333333,NA,61153.5833333333,61153.5833333333,NA,NA,NA,NA,NA,NA
1974,NA,NA,30678.1666666667,45800,76478.1666666667,38239.0833333333,NA,NA,NA,NA,NA,NA
1975,NA,NA,14362.6363636364,NA,14362.6363636364,14362.6363636364,NA,NA,NA,NA,NA,NA
1976,NA,NA,5525.1,NA,5525.1,5525.1,NA,NA,NA,NA,NA,NA
1977,NA,NA,23290.4,NA,23290.4,23290.4,NA,NA,NA,NA,NA,NA
1978,NA,NA,34092.8333333333,972.25,35065.0833333333,17532.5416666667,NA,NA,NA,NA,NA,NA
1979,NA,NA,35152,22643,57795,28897.5,NA,NA,NA,NA,NA,NA
1980,NA,NA,12855.4166666667,29520.5454545455,42375.9621212121,21187.9810606061,NA,NA,NA,NA,NA,NA
1981,NA,NA,13015.9166666667,29558.6666666667,42574.5833333333,21287.2916666667,NA,NA,NA,NA,NA,NA
1982,NA,NA,7916.83333333333,20521,28437.8333333333,14218.9166666667,NA,NA,NA,NA,NA,NA
1983,NA,NA,28331.4166666667,13784,42115.4166666667,21057.7083333333,NA,NA,NA,NA,NA,NA
1984,NA,NA,21865.3333333333,17630.1666666667,39495.5,19747.75,NA,NA,NA,NA,NA,NA
1985,NA,NA,21067.4166666667,8328.33333333333,29395.75,14697.875,NA,NA,NA,NA,NA,NA
1986,NA,NA,37058.1666666667,14180.0833333333,51238.25,25619.125,NA,NA,NA,NA,NA,NA
1987,NA,NA,57869.5833333333,5787.41666666667,63657,31828.5,NA,NA,NA,NA,NA,NA
1988,NA,NA,76971.5833333333,9694.36363636364,86665.946969697,43332.9734848485,NA,NA,NA,NA,NA,NA
1989,NA,NA,68658.5833333333,8474.16666666667,77132.75,38566.375,NA,NA,NA,NA,NA,NA
1990,NA,NA,81699.8333333333,2976.75,84676.5833333333,42338.2916666667,NA,NA,NA,NA,NA,NA
1991,NA,NA,82034.9166666667,11902,93936.9166666667,46968.4583333333,NA,NA,NA,NA,NA,NA
1992,NA,NA,69565.75,16632.0833333333,86197.8333333333,43098.9166666667,NA,NA,NA,NA,NA,NA
1993,NA,NA,50316.0833333333,13979.4166666667,64295.5,32147.75,NA,NA,NA,NA,NA,NA
1994,NA,NA,92410.9166666667,22631.25,115042.166666667,57521.0833333333,NA,NA,NA,NA,NA,NA
1995,NA,NA,83781,19060.25,102841.25,51420.625,NA,NA,NA,NA,NA,NA
1996,NA,NA,57685.9166666667,17231.3636363636,74917.2803030303,37458.6401515152,NA,NA,NA,NA,NA,NA
1997,NA,NA,65621.8333333333,17455.0909090909,83076.9242424242,41538.4621212121,NA,NA,NA,NA,NA,NA
1998,NA,NA,55335.9166666667,12853.1818181818,68189.0984848485,34094.5492424242,NA,NA,NA,NA,NA,NA
1999,NA,NA,57644.1666666667,23198,80842.1666666667,40421.0833333333,NA,NA,NA,NA,NA,NA
2000,NA,NA,64392,18268.1818181818,82660.1818181818,41330.0909090909,NA,NA,NA,NA,NA,NA
2001,NA,NA,76517.4166666667,25301.5,101818.916666667,50909.4583333333,NA,NA,NA,NA,NA,NA
2002,NA,NA,63637.5,17402.6,81040.1,40520.05,NA,NA,NA,NA,NA,NA
2003,4305.5,6618.5,31129.75,4975.25,47029,11757.25,NA,NA,NA,NA,NA,NA
