Year,ProjID,Lifestage,CPUE,Watershed,Salinity,PSU
1980,B90,Juvenile,0.225281897,Survey,Spot,21.96114268
1981,B90,Juvenile,0.997661012,Survey,Spot,24.19097222
1982,B90,Juvenile,0.313705723,Survey,Spot,20.45575397
1983,B90,Juvenile,2.603951439,Survey,Spot,21.31035354
1984,B90,Juvenile,2.653470102,Survey,Spot,21.390955
1985,B90,Juvenile,3.786729714,Survey,Spot,23.96688312
1986,B90,Juvenile,2.263747225,Survey,Spot,24.93296958
1987,B90,Juvenile,3.373737723,Survey,Spot,25.56834795
1988,B90,Juvenile,2.549273845,Survey,Spot,25.32893519
1989,B90,Juvenile,5.321034207,Survey,Spot,22.30762987
1990,B90,Juvenile,3.280631088,Survey,Spot,24.9026425
1991,B90,Juvenile,3.035089485,Survey,Spot,22.74134997
1992,B90,Juvenile,3.192385103,Survey,Spot,24.67083333
1993,B90,Juvenile,2.463647285,Survey,Spot,22.21158009
1994,B90,Juvenile,4.659624046,Survey,Spot,22.01040904
1995,B90,Juvenile,1.754516024,Survey,Spot,23.95767196
1996,B90,Juvenile,5.427508825,Survey,Spot,24.67460317
1997,B90,Juvenile,3.895550336,Survey,Spot,24.74345238
1998,B90,Juvenile,0.635371066,Survey,Spot,23.3405754
1999,B90,Juvenile,1.435715649,Survey,Spot,24.99632937
2000,B90,Juvenile,0.651675003,Survey,Spot,24.6400463
2001,B90,Juvenile,4.881045129,Survey,Spot,27.90197025
2002,B90,Juvenile,0.327685458,Survey,Spot,28.68055556
2003,B90,Juvenile,0.375,Survey,Spot,29.01388889
2004,B90,Juvenile,4.130611935,Survey,Spot,27.22152778
2005,B90,Juvenile,6.103115083,Survey,Spot,25.5625
2006,B90,Juvenile,7.45158836,Survey,Spot,26.07083333
2007,B90,Juvenile,3.803229663,Survey,Spot,28.26309524
2008,B90,Juvenile,3.488908281,Survey,Spot,30.43333333
2009,B90,Juvenile,0.285714286,Survey,Spot,27.95833333
2010,B90,Juvenile,0.368506494,Survey,Spot,25.01349206
2011,B90,Juvenile,1.071428571,Survey,Spot,27.87857143
2012,B90,Juvenile,1.339423075,Survey,Spot,26.825
2013,B90,Juvenile,1.09375,Survey,Spot,23.48819444
2014,B90,Juvenile,0.364583333,Survey,Spot,19.88888889
2015,B90,Juvenile,1.020833333,Survey,Spot,18.70833333
2016,B90,Juvenile,1.056818182,Survey,Spot,22.03409091
2017,B90,Juvenile,1.03125,Survey,Spot,21.625
2018,B90,Juvenile,2.135645604,Survey,Spot,19.45
1980,B90,Subadult,0.516251095,Survey,Spot,21.96114268
1981,B90,Subadult,2.430595342,Survey,Spot,24.19097222
1982,B90,Subadult,0.506836445,Survey,Spot,20.45575397
1983,B90,Subadult,1.133329224,Survey,Spot,21.31035354
1984,B90,Subadult,5.402667441,Survey,Spot,21.390955
1985,B90,Subadult,1.880357017,Survey,Spot,23.96688312
1986,B90,Subadult,7.494602928,Survey,Spot,24.93296958
1987,B90,Subadult,5.078770835,Survey,Spot,25.56834795
1988,B90,Subadult,5.961952473,Survey,Spot,25.32893519
1989,B90,Subadult,3.679890384,Survey,Spot,22.30762987
