Year,ProjID,Lifestage,CPUE,Watershed,Salinity,PSU
2006,B90,Juvenile,7.45158836,Ashley,CSI_12,0.227325272
2007,B90,Juvenile,3.803229663,Ashley,CSI_12,-0.600871831
2008,B90,Juvenile,3.488908281,Ashley,CSI_12,-1.126818652
2009,B90,Juvenile,0.285714286,Ashley,CSI_12,-0.326029512
2010,B90,Juvenile,0.368506494,Ashley,CSI_12,0.606494792
2011,B90,Juvenile,1.071428571,Ashley,CSI_12,-0.264089286
2012,B90,Juvenile,1.339423075,Ashley,CSI_12,-1.845162097
2013,B90,Juvenile,1.09375,Ashley,CSI_12,-0.412573239
2014,B90,Juvenile,0.364583333,Ashley,CSI_12,0.639318565
2015,B90,Juvenile,1.020833333,Ashley,CSI_12,0.964931451
2016,B90,Juvenile,1.056818182,Ashley,CSI_12,1.701484113
2017,B90,Juvenile,1.03125,Ashley,CSI_12,0.320662228
2006,B90,Subadult,5.684793803,Ashley,CSI_12,0.227325272
2007,B90,Subadult,4.346304345,Ashley,CSI_12,-0.600871831
2008,B90,Subadult,3.927170979,Ashley,CSI_12,-1.126818652
2009,B90,Subadult,0.876984127,Ashley,CSI_12,-0.326029512
2010,B90,Subadult,1.364754708,Ashley,CSI_12,0.606494792
2011,B90,Subadult,4.854737792,Ashley,CSI_12,-0.264089286
2012,B90,Subadult,1.839323613,Ashley,CSI_12,-1.845162097
2013,B90,Subadult,0.8125,Ashley,CSI_12,-0.412573239
2014,B90,Subadult,0.614583333,Ashley,CSI_12,0.639318565
2015,B90,Subadult,0.650892857,Ashley,CSI_12,0.964931451
2016,B90,Subadult,2.227272727,Ashley,CSI_12,1.701484113
2017,B90,Subadult,2.645833333,Ashley,CSI_12,0.320662228
2006,B90,Adult,1.962102686,Ashley,CSI_12,0.227325272
2007,B90,Adult,1.442479688,Ashley,CSI_12,-0.600871831
2008,B90,Adult,2.615170615,Ashley,CSI_12,-1.126818652
2009,B90,Adult,0.698412698,Ashley,CSI_12,-0.326029512
2010,B90,Adult,1.869660877,Ashley,CSI_12,0.606494792
2011,B90,Adult,4.161495974,Ashley,CSI_12,-0.264089286
2012,B90,Adult,0.81875,Ashley,CSI_12,-1.845162097
2013,B90,Adult,0.263888889,Ashley,CSI_12,-0.412573239
2014,B90,Adult,0.708333333,Ashley,CSI_12,0.639318565
2015,B90,Adult,1.49047619,Ashley,CSI_12,0.964931451
2016,B90,Adult,5.965909091,Ashley,CSI_12,1.701484113
2017,B90,Adult,3.634469698,Ashley,CSI_12,0.320662228
2006,B90,ImmatureFemale,7.546071795,Ashley,CSI_12,0.227325272
2007,B90,ImmatureFemale,4.150455367,Ashley,CSI_12,-0.600871831
2008,B90,ImmatureFemale,4.504485125,Ashley,CSI_12,-1.126818652
2009,B90,ImmatureFemale,0.694444444,Ashley,CSI_12,-0.326029512
2010,B90,ImmatureFemale,0.937301587,Ashley,CSI_12,0.606494792
2011,B90,ImmatureFemale,2.717412217,Ashley,CSI_12,-0.264089286
2012,B90,ImmatureFemale,1.583279655,Ashley,CSI_12,-1.845162097
2013,B90,ImmatureFemale,1.236111111,Ashley,CSI_12,-0.412573239
2014,B90,ImmatureFemale,0.268849206,Ashley,CSI_12,0.639318565
2015,B90,ImmatureFemale,0.966071429,Ashley,CSI_12,0.964931451
2016,B90,ImmatureFemale,1.75,Ashley,CSI_12,1.701484113
2017,B90,ImmatureFemale,1.722222222,Ashley,CSI_12,0.320662228
2006,B90,MatureFemale,1.156239664,Ashley,CSI_12,0.227325272
2007,B90,MatureFemale,0.872124989,Ashley,CSI_12,-0.600871831
2008,B90,MatureFemale,1.681291844,Ashley,CSI_12,-1.126818652
2009,B90,MatureFemale,0.396825397,Ashley,CSI_12,-0.326029512
2010,B90,MatureFemale,1.455916306,Ashley,CSI_12,0.606494792
2011,B90,MatureFemale,3.882154882,Ashley,CSI_12,-0.264089286
2012,B90,MatureFemale,0.633928571,Ashley,CSI_12,-1.845162097
2013,B90,MatureFemale,0.277777778,Ashley,CSI_12,-0.412573239
2014,B90,MatureFemale,0.470238095,Ashley,CSI_12,0.639318565
2015,B90,MatureFemale,1.010714286,Ashley,CSI_12,0.964931451
2016,B90,MatureFemale,3.988636364,Ashley,CSI_12,1.701484113
2017,B90,MatureFemale,2.867108587,Ashley,CSI_12,0.320662228
2006,B90,Total,15.09848485,Ashley,CSI_12,0.227325272
2007,B90,Total,9.592013889,Ashley,CSI_12,-0.600871831
2008,B90,Total,10.03125,Ashley,CSI_12,-1.126818652
2009,B90,Total,1.861111111,Ashley,CSI_12,-0.326029512
2010,B90,Total,3.602922078,Ashley,CSI_12,0.606494792
2011,B90,Total,10.08766234,Ashley,CSI_12,-0.264089286
2012,B90,Total,3.997496684,Ashley,CSI_12,-1.845162097
2013,B90,Total,2.170138889,Ashley,CSI_12,-0.412573239
2014,B90,Total,1.6875,Ashley,CSI_12,0.639318565
2015,B90,Total,3.180952381,Ashley,CSI_12,0.964931451
2016,B90,Total,9.818181818,Ashley,CSI_12,1.701484113
2017,B90,Total,8.415719697,Ashley,CSI_12,0.320662228
2006,P88,Total,55.55014446,Ashley,CSI_12,0.227325272
2007,P88,Total,43.51330637,Ashley,CSI_12,-0.600871831
2008,P88,Total,51.87003437,Ashley,CSI_12,-1.126818652
2009,P88,Total,31.10712204,Ashley,CSI_12,-0.326029512
2010,P88,Total,19.28829762,Ashley,CSI_12,0.606494792
2011,P88,Total,40.19162949,Ashley,CSI_12,-0.264089286
2012,P88,Total,41.76340781,Ashley,CSI_12,-1.845162097
2013,P88,Total,67.42347751,Ashley,CSI_12,-0.412573239
2014,P88,Total,33.29984774,Ashley,CSI_12,0.639318565
2015,P88,Total,31.90391999,Ashley,CSI_12,0.964931451
2016,P88,Total,32.67326143,Ashley,CSI_12,1.701484113
2017,P88,Total,34.47886567,Ashley,CSI_12,0.320662228
2006,T06,Total,1.596656406,Ashley,CSI_12,0.227325272
2007,T06,Total,1.722439093,Ashley,CSI_12,-0.600871831
2008,T06,Total,2.202487118,Ashley,CSI_12,-1.126818652
2009,T06,Total,0.622471894,Ashley,CSI_12,-0.326029512
2010,T06,Total,1.258421724,Ashley,CSI_12,0.606494792
2011,T06,Total,1.501418722,Ashley,CSI_12,-0.264089286
2012,T06,Total,2.46230477,Ashley,CSI_12,-1.845162097
2013,T06,Total,1.338590387,Ashley,CSI_12,-0.412573239
2014,T06,Total,0.588738549,Ashley,CSI_12,0.639318565
2015,T06,Total,1.605047227,Ashley,CSI_12,0.964931451
2016,T06,Total,2.273138556,Ashley,CSI_12,1.701484113
2017,T06,Total,2.029875494,Ashley,CSI_12,0.320662228
2007,B90,Juvenile,3.803229663,Ashley,CSI_24,-0.173389569
2008,B90,Juvenile,3.488908281,Ashley,CSI_24,-0.925774702
2009,B90,Juvenile,0.285714286,Ashley,CSI_24,-0.777712733
2010,B90,Juvenile,0.368506494,Ashley,CSI_24,0.189971003
2011,B90,Juvenile,1.071428571,Ashley,CSI_24,0.226685352
2012,B90,Juvenile,1.339423075,Ashley,CSI_24,-1.175940399
2013,B90,Juvenile,1.09375,Ashley,CSI_24,-1.251794491
2014,B90,Juvenile,0.364583333,Ashley,CSI_24,0.155644202
2015,B90,Juvenile,1.020833333,Ashley,CSI_24,0.946276731
2016,B90,Juvenile,1.056818182,Ashley,CSI_24,1.533593238
2017,B90,Juvenile,1.03125,Ashley,CSI_24,1.146275108
2007,B90,Subadult,4.346304345,Ashley,CSI_24,-0.173389569
2008,B90,Subadult,3.927170979,Ashley,CSI_24,-0.925774702
2009,B90,Subadult,0.876984127,Ashley,CSI_24,-0.777712733
2010,B90,Subadult,1.364754708,Ashley,CSI_24,0.189971003
2011,B90,Subadult,4.854737792,Ashley,CSI_24,0.226685352
2012,B90,Subadult,1.839323613,Ashley,CSI_24,-1.175940399
2013,B90,Subadult,0.8125,Ashley,CSI_24,-1.251794491
2014,B90,Subadult,0.614583333,Ashley,CSI_24,0.155644202
2015,B90,Subadult,0.650892857,Ashley,CSI_24,0.946276731
2016,B90,Subadult,2.227272727,Ashley,CSI_24,1.533593238
2017,B90,Subadult,2.645833333,Ashley,CSI_24,1.146275108
2007,B90,Adult,1.442479688,Ashley,CSI_24,-0.173389569
2008,B90,Adult,2.615170615,Ashley,CSI_24,-0.925774702
2009,B90,Adult,0.698412698,Ashley,CSI_24,-0.777712733
2010,B90,Adult,1.869660877,Ashley,CSI_24,0.189971003
2011,B90,Adult,4.161495974,Ashley,CSI_24,0.226685352
